"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-001","receiving","Grain Receiving – East 750 Pit","","","","","81-A-092-S1"
"EU-002","handling","Grain Handling – 750 Drags","","","","","81-A-091-S1"
"EU-003","receiving","Grain Receiving – West 750 Pit","","","","","81-A-093-S1"
"EU-004","handling","Grain Handling – 850 Drags","","","","","81-A-102-S1"
"EU-005","receiving","Grain Receiving – 480 Pits","","","","","13-A-414"
"EU-006","aspiration","Cracking and Dehulling – Overs Aspiration","153.75","tons/hr","","","87-A-157"
"EU-007","aspiration","Cracking and Dehulling – Primary Dehulling Aspiration","153.75","tons/hr","","","87-A-158"
"EU-008","aspiration","Cracking and Dehulling – Fine Hull Aspiration","153.75","tons/hr","","","81-A-109"
"EU-009","cracking and dehulling","Soybean Cracking and Dehulling","162.5","tons/hr","","","81-A-111-S2"
"EU-010","aspiration","Flaking – Flaker and Drag Aspiration","162.5","tons/hr","","","81-A-116"
"EU-011","aspiration","Hull Grinder & Auger Aspiration","162.5","tons/hr","","","93-A-155-S2"
"EU-012","grinding","Cracking and Dehulling – Meal Grinder","162.5","tons/hr","","","81-A-113"
"EU-013","drying","Meal Dryer – Top West Dryer/Cooler","76.88","tons/hr","","","81-A-101"
"EU-014","drying","Meal Dryer – Middle West Dryer/Cooler","76.88","tons/hr","","","81-A-100"
"EU-015","drying","Meal Dryer – Bottom West Dryer/Cooler","76.88","tons/hr","","","81-A-099"
"EU-016","drying","Meal Dryer – Bottom East Dryer/Cooler","76.88","tons/hr","","","81-A-096"
"EU-017","drying","Meal Dryer – Middle East Dryer/Cooler","76.88","tons/hr","","","81-A-097"
"EU-018","drying","Meal Dryer – Top East Dryer/Cooler","76.88","tons/hr","","","81-A-098"
"EU-019","loading/unloading","Railroad Car Bulk Loading","500","tons/hr","","","07-A-057"
"EU-020","loading/unloading","North Truck Bulk Loading 1","300","tons/hr","","","93-A-415-S1"
"EU-021","boiler","Spreader Stoker Boiler #1 Steam to Turbine","10","MW","","","81-A-117-S2"
"EU-022","boiler","Spreader Stoker Boiler #2 Steam to Turbine","10","MW","","","81-A-118-P2"
"EU-023","conveying","Bulk Coal Conveying","146.5","MMBtu/hr","","","88-A-029"
"EU-024","conveying","Bulk Ash Conveying","146.5","MMBtu/hr","","","81-A-146"
"EU-025","aspiration","Pellet Cooling Aspiration","160.34","tons/hr","","","93-A-154-S1"
"EU-026","drying","Soybean Dryer #1","76.88","tons/hr","","","81-A-103-S1"
"EU-027","drying","Soybean Dryer #2","76.88","tons/hr","","","81-A-104-S1"
"EU-028","storage","Hull Pellet Storage Bins: 15 Bins","","","","","07-A-1349-S1"
"EU-029","loading/unloading","North Truck Loadout: 30 Bins","","","","","07-A-1350-S1"
"EU-030","storage","#14 Meal Storage: 14 Bins","","","","","07-A-1351-S1"
"EU-031","storage","Hull Bins for the South Truck Loadout: 8 Bins","","","","","07-A-1352-S1"
"EU-032","loading/unloading","South Truck Bulk Loading","480","tons/hr","","","93-A-414-S1"
"EU-033","conditioning","South Bean Conditioner","51.25","tons/hr","","","07-A-058"
"EU-034","conditioning","Middle Bean Conditioner","51.25","tons/hr","","","07-A-059"
"EU-035","conditioning","North Bean Conditioner","51.25","tons/hr","","","07-A-060"
"EU-036","extraction","Soy Oil Extraction Process","153.75","tons/hr","","","EPA PSD"
"EU-037","handling","Refinery Clay Handling","","","","","NA"
"EU-038","refining","Oil Refinery","17","tons/hr","","","17-A-079"
"EU-039","boiler","Geka Boiler","146.5","MMBtu/hr","","","01-A-638-S5"
"EU-040","receiving","Hull Receiving","162.5","tons/hr","","","07-A-061"
"EU-041","grinding","Pod Grinder System","153.75","tons/hr","","","06-A-615-S1"
"EU-042","storage","#6 Hull Storage: 6 Bins","","","","","07-A-1353-S1"
"EU-043","storage","Meal Bins at South Truck Loadout: 14 Bins","","","","","07-A-1354-S1"
"EU-044","loading/unloading","Rail Meal Loadout 1","200","tons/hr","","","11-A-686"
"EU-045","boiler","Natural Gas Boiler #1","72","MMBtu/hr","","","18-A-143-S2"
"EU-046","boiler","Natural Gas Boiler #2","72","MMBtu/hr","","","18-A-144-S3"
"EU-047","aspiration","North Truck Meal Loadout Equipment Aspiration #1","250","tons/hr","","","19-A-162-S1"
"EU-048","aspiration","North Truck Meal Loadout Equipment Aspiration #2","250","tons/hr","","","19-A-163-S1"
"EU-049","conveying","Meal Conveyance/Scalping Equipment #1","250","tons/hr","","","19-A-166-S1"
"EU-050","conveying","Meal Conveyance/Scalping Equipment #2","250","tons/hr","","","19-A-166-S1"
"EU-051","cooling","Cooling Tower (4 Cells)","32000","scfm","","","22-A-056"
"EU-052","conditioning","Rotary Conditioner","162.5","tons/hr","","","22-A-083"
