"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-11","boiler","Package Boiler (Stacks)","85","MMBtu/hr","","","CE 11, CE 12"
"EP-14","extraction","Solvent Extraction System","246","tons/yr","","","CE 14"
"EP-15A","storage","Bean Bin #1 Vent Filter","","","","","CE 15A"
"EP-15B","storage","Bean Bin #2 Vent Filter","","","","","CE 15B"
"EP-15C","storage","Bean Bin #3 Vent Filter","","","","","CE 15C"
"EP-15D","storage","Bean Bin #4 Vent Filter","","","","","CE 15D"
"EP-17A","storage","Tempering Bin #1 Vent Filter","","","","","CE 17A"
"EP-17B","storage","Tempering Bin #2 Vent Filter","","","","","CE 17B"
"EP-17C","storage","Tempering Bin #3 Vent Filter","","","","","CE 17C"
"EP-17D","storage","Tempering Bin #4 Vent Filter","","","","","CE 17D"
"EP-17E","storage","Tempering Bin #5 Vent Filter","","","","","CE 17E"
"EP-18A","storage","Meal Storage Bin #1 Vent Filter","","","","","CE 18A"
"EP-18B","storage","Meal Storage Bin #2 Vent Filter","","","","","CE 18B"
"EP-18C","storage","Meal Storage Bin #3 Vent Filter","","","","","CE 18C"
"EP-18D","storage","Meal Storage Bin #4 Vent Filter","","","","","CE 18D"
"EP-18E","storage","Meal Storage Bin #5 Vent Filter","","","","","CE 18E"
"EP-18F","storage","Meal Storage Bin #6 Vent Filter","","","","","CE 18F"
"EP-19","storage","Soybean Meal Storage Building Vent Filter","","","","","CE 19"
"EP-29A","storage","Hull Bin #1 Vent Filter","","","","","CE 29A"
"EP-29B","storage","Hull Bin #2 Vent Filter","","","","","CE 29B"
"EP-30","storage","Hot Dehulling Vent Filter","","","","","CE 30"
"EP-31","storage","Hull Pelleting Vent Filter","","","","","CE 31"
"EU-1","receiving","Grain Receiving","","","","","CE 1"
"EU-10","conditioning","Meal Grinding","87.5","tons/hr","","","CE 10"
"EU-3","receiving","Bulk Loadout","","","","","CE 3"
"EU-4","drying","Grain Dryer","136","tons/hr","","","CE 4"
"EU-5","conditioning","Cracking/Dehulling/Grinding, Hull Storage, Hull Conveyor","87.5","tons/hr","","","CE 5, CE 32"
"EU-6","conditioning","Flaking","87.5","tons/hr","","","CE 6"
"EU-7","drying","Meal Drying - Top Deck","87.5","tons/hr","","","CE 7"
"EU-8","drying","Meal Drying - Mid Deck","87.5","tons/hr","","","CE 8"
"EU-9","drying","Meal Drying - Bottom Cooling Deck","87.5","tons/hr","","","CE 9"
