"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-11","receiving","Soybean Receiving Elevator","825","tons/hr","","","CE-6"
"EU-12","handling","Soybean Handling Elevator","825","tons/hr","","","CE-7"
"EU-13","cleaning","Soybean Cleaning","3000","bu/hr","","","CE-8"
"EU-14","drying","Soybean Drying","2500","bu/hr","","","CE-9"
"EU-15","dehulling","Secondary Dehulling","2500","bu/hr","","","CE-10"
"EU-16","grinding","Hull Grinding","2500","bu/hr","","","CE-11"
"EU-17","flaking","Flaking Process","3168","bu/hr","","","CE-12"
"EU-18","drying","DTDC 1st Drying Deck","2500","bu/hr","","","CE-13"
"EU-19","drying","DTDC 2nd Drying Deck","2500","bu/hr","","","CE-14"
"EU-20","cooling","DTDC Cooler Deck","2500","bu/hr","","","CE-15"
"EU-21","screening_and_grinding","Meal Screening and Grinding","7500","tons/hr","","","CE-16"
"EU-22","storage_and_transfer","Meal Storage and Transfer","250","tons/hr","","","CE-17"
"EU-23","loadout","Rail Meal Loadout","200","tons/hr","","","CE-18"
"EU-24","loadout","Truck Meal Loadout","250","tons/hr","","","CE-19"
"EU-26","storage_and_transfer","Soybean Storage Bin #1","750000","bushels/hr","","","CE-20"
"EU-36","storage_and_transfer","Soybean Storage Bin #11","750000","bushels/hr","","","CE-21"
"EU-5","boilers","Cleaver Brooks Boiler","","","","","CE-1"
"EU-7","boilers","Erie City Boiler","32000","MMBtu/hr","","","CE-4"
"EU-9","other","Emergency Fire Diesel Pump","","","","","CE-5"
