"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-103","receiving","Bean Receiving/Handling/Cleaning","","","870","tons/hr","CE-03: Cyclone, CE-04: Baghouse"
"EU-104","drying","Grain Drying Process","84","tons/hr","","","CE-102: Cyclone, CE-103: Cyclone, CE-104: Cyclone, CE-101: Baghouse"
"EU-108","oiling","East Steel Bin Oiling Soybeans","300","tons/hr","","",""
"EU-109","oiling","West Steel Bin Oiling Soybeans","300","tons/hr","","",""
"EU-201","conditioning","Cracking Mills","","","14.6","tons/hr","CE-102: Cyclone, CE-103: Cyclone, CE-104: Cyclone, CE-101: Baghouse"
"EU-202","conditioning","Hull Grinders","","","8.4","tons/hr","CE-102: Cyclone, CE-103: Cyclone, CE-104: Cyclone, CE-101: Baghouse"
"EU-204","conditioning","Bean Conditioning Process","","","109","tons/hr","CE-102: Cyclone, CE-103: Cyclone, CE-104: Cyclone, CE-101: Baghouse"
"EU-205","dehulling","Hot Dehulling Process","","","73","tons/hr","CE-111: Cyclone, CE-117: Cyclone"
"EU-206","conditioning","Flaking Mills Process","","","36","tons/hr","CE-102: Cyclone, CE-103: Cyclone, CE-104: Cyclone, CE-101: Baghouse"
"EU-300","extraction","Extraction Process","62.5","tons/hr","","",""
"EU-301","extraction","DTDC Process","62.5","tons/hr","","","CE-116: Cyclone, CE-117: Cyclone"
"EU-500","conditioning","Meal Grinder Aspiration Process","67","tons/hr","","","CE-140: Baghouse"
"EU-502","storage","Meal Storage Transfer","100","tons/hr","","","CE-123: Cyclone"
"EU-503","storage","Hull Storage Transfer","14","tons/hr","","","CE-122: Baghouse"
"EU-504","packaging","Meal Truck & Rail Loadout","384","tons/hr","","","CE-124: Baghouse"
"EU-505","conditioning","Meal Recovery Process","50","tons/hr","","",""
"EU-601","boilers","Murray Steam Boiler","56.25","MMBtu/hr","","",""
"EU-602","boilers","Cleaver Brooks Steam Boiler","63.61","MMBtu/hr","","",""
"EU-701","cooking","Amino Meal Cooker","36","tons/hr","","",""
"EU-702","drying","Amino Meal Dryer","48","tons/hr","","",""
"EU-703","cooling","Amino Meal Cooler & Product Recovery Cyclone","48","tons/hr","","","CE-134: Scrubber"
"EU-704","storage","Meal Surge Tank","50","tons/hr","","","CE-136: Fabric Filter"
