"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"10","conditioning","Preparation Bean Cleaning System","90","tons/hr","","","CE-87"
"14","aspiration","Cracker Aspiration for Flakers and Conveyors","83","tons/hr","","","CE-7"
"15","dehulling","Secondary Dehulling","22","tons/hr","","","CE-315-S1"
"16","conveying","Finished Cracks Conveyors & Legs","83","tons/hr","","","CE-7"
"19","aspiration","Aspiration for Flakers and Conveyors","80","tons/hr","","","CE-12"
"20","conditioning","Bean Conditioning – Conveyor & Leg","72.5","tons/hr","","","CE-765-S2"
"21","conveying","Flaking Feed, Surge Bin, Leg & Conveyor","76.5","tons/hr","","","CE-85"
"22","conveying","Extractor Feed Flake Conveyor","76.5","tons/hr","","","CE-86"
"23","handling","West Meal Handling","165","tons/hr","","","CE-770-S2"
"24","loading","Meal Truck Loadout","250","tons/hr","","","CE-18"
"26","storage","East Loadout Bins","250","tons/hr","","","CE-18"
"27","storage","West Loadout Bins","250","tons/hr","","","CE-18"
"28","storage","North Harvestore Bin","100","tons/hr","","","CE-47"
"29","storage","Middle Harvestore Bin","100","tons/hr","","","CE-48"
"30","storage","South Harvestore Bin","100","tons/hr","","","CE-49"
"32","storage","West Harvestore Bin","60","tons/hr","","","CE-50"
"33","storage","West Steel Bin","60","tons/hr","","","CE-51"
"34","storage","East Steel Bin","60","tons/hr","","","CE-52"
"35","storage","East Harvestore Bin","60","tons/hr","","","CE-53"
"38","boiler","Johnston Boiler","24.72","MMBtu/hr","","","CE-56"
"39","engine","Fire Pump Engine","460","bhp","","","CE-57"
"4","drying","Grain Dryer","75","tons/hr","","","CE-242"
"41","drying","Bean Dryer - Bean Cleaner","107","tons/hr","26280000","bushels/yr","CE-20"
"56","storage","Meal Silo Storage","2400","tons","","","CE-56"
"60.1","handling","Loadout Transfer Point and Scalper Equipment","250","tons/hr","","","CE-60.1"
"60.2","filtering","Internal Filter Dust Equipment","","","","","CE-60.2"
