"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"C06A","other","Fly Ash Transfer","","","","","C06"
"C06B","other","Fly Ash Transfer","","","","","C06"
"C07","other","Fly Ash Silo","","","","","C07"
"C09","boilers","Standby Boiler","240","MMBtu/hr","","","C09"
"C09A","other","Standby Boiler By-Pass","","","","","C09"
"C10","boilers","Boiler with Low NOx Burners, 240 MMBtu/hr","240","MMBtu/hr","","","C10"
"GP013","boilers","Natural Gas Emergency Lighting Generator, 61.5 MMBtu Nebraska Boiler","61.5","MMBtu/hr","","","GP013"
"GP014","storage","(2)-30,000 gallon Hexane Tanks","60","gallons","","","GP014"
"GP02","storage","(2) – 500,000 bushel Bean Storage Tanks","","","","","GP02"
"GP021","other","Extraction – Diesel Fire Pump, 357 hp (18.2 gallons/hour)","357","hp","","","GP021"
"GP04A","conveying","Conveying to Process","1892","Modified #4","","","GP04A"
"GP05A","conditioning","Escher Wyss Conditioning / Dehulling, 275 Tons/hr","275","Tons/hr","","","GP05A"
"GP06A","aspiration","Flaking Aspiration, 275 Tons/hr","275","Tons/hr","","","GP06A"
"GP07","conveying","Conveying to Extractor, 275 Tons/hr","275","Tons/hr","","","GP07"
"GP09A","extraction","Extractor (Solvent Bubble), 275 Tons/hr","275","Tons/hr","","","GP09A"
"HR01A","aspiration","Conveying to Aspirator/Whole Bean Aspiration; Secondary Aspiration/Hull Gravity Tables, 275 Tons/hr","275","Tons/hr","","","HR01A"
"HR02A","grinding","Hull Grinding, 19.25 Tons/hr","19.25","Tons/hr","","","HR02A"
"MP01","cooling","Crown Desolventizer Toaster Dryer Cooler (DTDC)","61.5","MMBtu/hr","","","MP01"
"MP02A","grinding","Meal Grinding, 350 Tons/hr","350","Tons/hr","","","MP02A"
"MP06A","conveying","Meal Conveying & Meal Loading, 350 Tons/hr","350","Tons/hr","","","MP06A"
"R08","other","Detroit Diesel Allison Diesel Fire Pump at Refinery, 357 hp (18.2 gallons/hour)","357","hp","","","R08"
"R09","boilers","Refinery - Steam Generator, 13.853 MM BTU/hr; 13,581 ft3/hr","13.853","MMBTU/hr","","","R09"
