"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-01-0201 CAC Stripper","extraction","Stripper","2000","gallons","","","CE-9D-30A"
"EU-09-0100 Day Tank","storage","Day Tank","1327","gallons","","",""
"EU-11-106","boilers","CAC Ketene Furnace","24.2","MMBtu/hr","","","CE-11-114"
"EU-11-111-1","incinerators","CAC Process Incinerator Burner","","","","","CE-11-114"
"EU-11-111-2","distillation","Light Ends Column","","","","","CE-11-115"
"EU-11-119-1 CAC Process Flare Burner","flares","CAC Process Flare Burner","88","MMBtu/hr","","","CE-11-119"
"EU-11-119-2 Acid Cracking","extraction","Acid Cracking","5600","lb/hr","","","CE-11-119"
"EU-11-FUG Uncaptured CAC Emissions","fugitive emissions","Uncaptured CAC Emissions","","","","",""
"EU-11-S-1-1 CAC Process Vents","extraction","CAC Process Vents","8800","lb/hr","","","CE-11-S-1"
"EU-11-S-1-2","extraction","CAC Process Off-Gas","8800","lb/hr","","","CE-11-115"
"EU-11-S-1-2 CAC Process Off-Gas","extraction","CAC Process Off-Gas","8800","lb/hr","","","CE-11-S-1"
"EU-13-0949 Technical Storage Tank 'D'","storage","Technical Storage Tank 'D'","25786","gallons","","",""
"EU-13-514-2","extraction","A-Unit Process Off-Gas","8800","lb/hr","","","CE-11-115"
"EU-1-844 GT East Cooling Tower, 4 Cells","cooling","GT East Cooling Tower, 4 Cells","","","","",""
"EU-1-845 GT West Cooling Tower, 2 Cells","cooling","GT West Cooling Tower, 2 Cells","","","","",""
"EU-4-0033 Catalyst Recycle Tank Knockout Pot","storage","Catalyst Recycle Tank Knockout Pot","10","gallons","","",""
"EU-4-0048 Centrate Surge Tank","storage","Centrate Surge Tank","10684","gallons","","",""
"EU-4-0049 Waste Surge Tank","storage","Waste Surge Tank","18607","gallons","","",""
"EU-4-0050 Ion Exchange Unit 1","extraction","Ion Exchange Unit 1","2539","gallons","","",""
"EU-4-0051 Ion Exchange Unit 2","extraction","Ion Exchange Unit 2","2539","gallons","","",""
"EU-4-0170 GI Slurry Tank","storage","GI Slurry Tank","27260","gallons","","",""
"EU-4-0211 Technical Reactor #1","receiving","Technical Reactor #1","17500","gallons","","","CE-4-0229"
"EU-4-0219 Hot Water Tank","storage","Hot Water Tank","34800","gallons","","",""
"EU-4-0220 Technical Reactor Vent Tank","storage","Technical Reactor Vent Tank","14000","gallons","","",""
"EU-4-0231 Technical Reactor #2","receiving","Technical Reactor #2","17500","gallons","","","CE-4-0229"
"EU-4-0239 Reactor Feed Tank","storage","Reactor Feed Tank","8320","gallons","","",""
"EU-4-0246 Recycle Catalyst Tank","storage","Recycle Catalyst Tank","3295","gallons","","",""
"EU-4-0255 Process Sump Tank","storage","Process Sump Tank","2350","gallons","","",""
"EU-4-0290 Flash Tank","storage","Flash Tank","2500","gallons","","",""
"EU-4-0336 Waste Catalyst Tank","storage","Waste Catalyst Tank","3295","gallons","","",""
"EU-4-0415 Evaporator Feed Tank","storage","Evaporator Feed Tank","22322","gallons","","",""
"EU-4-0485 Distillate Receiver #1","storage","Distillate Receiver #1","1500","gallons","","",""
"EU-4-0500 Salt Slurry Tank","storage","Salt Slurry Tank","5718","gallons","","",""
"EU-4-0515 Centrifuge #1","extraction","Centrifuge #1","10000","lb/hr","","",""
"EU-4-0516 Centrifuge #2","extraction","Centrifuge #2","10000","lb/hr","","",""
"EU-4-0519 Centrifuge #3","extraction","Centrifuge #3","10000","lb/hr","","",""
"EU-4-0525 Centrate Tank","storage","Centrate Tank","900","gallons","","",""
"EU-4-0530 Spent Mother Liquor Tank","storage","Spent Mother Liquor Tank","27100","gallons","","",""
"EU-4-0640 Wet Cake Hopper","storage","Wet Cake Hopper","10000","lb/hr","","",""
"EU-4-0679 Crystallizer","extraction","Crystallizer","86000","gallons","","",""
"EU-4-0685 Distillate Receiver #2","storage","Distillate Receiver #2","390","gallons","","",""
"EU-4-0700 Packout Hopper","storage","Packout Hopper","20000","lb/hr","","",""
"EU-4-0701 Packout Centrifuge #1","extraction","Packout Centrifuge #1","10000","lb/hr","","",""
"EU-4-0702 Packout Centrifuge #2","extraction","Packout Centrifuge #2","10000","lb/hr","","",""
"EU-4-0703 Packaging Centrate Tank","storage","Packaging Centrate Tank","2327","gallons","","",""
"EU-4-0715 Centrifuge #4","extraction","Centrifuge #4","240","gallons","","",""
"EU-4-0725 Centrate Feed Tank","storage","Centrate Feed Tank","556","gallons","","",""
"EU-4-0734 Packout System","extraction","Packout System","20000","lb/hr","","",""
"EU-4-0750 750 Salt Slurry Tank","storage","750 Salt Slurry Tank","2090","gallons","","",""
"EU-4-0773 773 Salt Slurry Tank","storage","773 Salt Slurry Tank","17000","gallons","","",""
"EU-4-0920 920 Salt Reactor","extraction","920 Salt Reactor","1500","gallons","","",""
"EU-4-0930 930 Salt Reactor","extraction","930 Salt Reactor","45000","lb/hr","","",""
"EU-4-1001-P1 WC Conveyor to 773","fugitive emissions","WC Conveyor to 773","45000","lb/hr","","",""
