"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-AS14","other","Haul Road 13.73 VMT/day Traffic","","","13.73","VMT/day",""
"EU-B1","boilers","Boiler 1","","","","","CEB1"
"EU-B2","boilers","Boiler 2","","","","","CEB2"
"EU-B3","boilers","Boiler 3","","","","","CEB3"
"EU-DC1","drying","Meal Dryer/Cooler 1 with Cyclone Recovery","500","tons/hr","","",""
"EU-DC2","drying","Meal Dryer/Cooler 2 with Cyclone Recovery","500","tons/hr","","",""
"EU-DC3","drying","Meal Dryer/Cooler 3 with Cyclone Recovery","500","tons/hr","","",""
"EU-DC4","drying","Meal Dryer/Cooler 4 with Cyclone Recovery","500","tons/hr","","",""
"EU-DH1","dehulling","Soybean Dehulling 1 with Baghouse","345","tons/hr","","",""
"EU-DH2","dehulling","Soybean Dehulling 2 with Baghouse","345","tons/hr","","",""
"EU-DH3","dehulling","Soybean Dehulling 3 with Baghouse","345","tons/hr","","",""
"EU-DH4","dehulling","Soybean Dehulling 4 with Baghouse","345","tons/hr","","",""
"EU-E1","extraction","Soybean Oil Extraction","297","tons/hr","","",""
"EU-EX1","other","Expander","1850","tons/day","","",""
"EU-FP1","other","Fire Pump 1","","","","",""
"EU-R1","boilers","High Pressure Boiler 1","13.5","MMBtu/hr","","",""
"EU-R2","boilers","High Pressure Boiler 2","13.5","MMBtu/hr","","",""
"EU-R9","other","Hydrogen Plant","0.02","mmcf/hr","","",""
