"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"1.01","receiving","Grain Receiving (Truck Dump)","","","","","CE 012"
"12.01","extraction","Extraction Process","","","","","CE 049A, CE 049B, CE 049C, CE 049D"
"130.01","conditioning","Rotary Conditioner Soybeans 110,000 bpd 130 Cyclone","","","","","CE 076"
"134.01","conditioning","Hull Grinding Soybeans 9.2 tons/hr 21 Baghouse","","","","","CE 078"
"3.01","storage","Grain Handling (Bean Handling/Elevator)","","","","","CE 003"
"34.01","storage","Meal Tank #3","","","","","CE 034"
"36.01","storage","Meal Tank #5","","","","","CE 036"
"40.01","receiving","Grain Receiving (Rail Unload/Transfer)","","","","","CE 040"
"42.01","storage","Clay Tank Aspiration","","","","","CE 052"
"43.01","storage","Meal Truck Load-out #1","","","","","CE 043"
"44.01","storage","Meal Truck Load-out #2","","","","","CE 044"
"49.1","drying","Meal Dryer Deck #1","","","","","CE 049A"
"56.01","boilers","98.83 MMBtu/hr Boiler No. 2 Fuel Oil 697 gal/hr -- --","","","","","CE 056"
"57.01","packaging","Pellet Mill Soybean Pellets 15 tph 57 Cyclone","","","","","CE 057"
"58.01","storage","Ground Pod Aspiration","","","","","CE 058"
