"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-FP","other","Emergency Fire Pump Engine","302","hp","","","CE-119"
"EU-101","boilers","Natural Gas Boiler #1","33.5","MMBtu/hr","","","CE-102"
"EU-101A","boilers","Natural Gas Boiler #2","33.5","MMBtu/hr","","","CE-102"
"EU-102","extraction","Soybean Oil Extraction","1000","tons/day","","","CE-102"
"EU-104","drying","Soybean Meal Drying – Deck 1","41.67","tons/hr","","","CE-104"
"EU-105","drying","Soybean Meal Drying – Deck 2","41.67","tons/hr","","","CE-105"
"EU-106","cooling","Soybean Meal Cooling","","","","","CE-106"
"EU-107a","aspiration","Whole Bean Aspiration","41.67","tons/hr","","","CE-107a, CE-109"
"EU-107b","conditioning","Vertical Seed Conditioner","41.67","tons/hr","","","CE-107b"
"EU-107c","drying","Jet Dryer","41.67","tons/hr","","","CE-107c"
"EU-107d","drying","Cascade Dryer","41.67","tons/hr","","","CE-107d"
"EU-107e","cooling","Cascade Cooler","41.67","tons/hr","","","CE-107e"
"EU-107f","aspiration","Secondary Aspiration","41.67","tons/hr","","","CE-109"
"EU-107g","conveying","Pneumatic Conveying","1.5","tons/hr","","","CE-109"
"EU-108","grinding","Meal Grinding & Sizing","25","tons/hr","","","CE-108"
"EU-109a","grinding","Hull Grinder (Soybeans)","2.3","tons/hr","","","CE-102"
"EU-109b","grinding","Hull Grinder (Soybeans)","3","tons/hr","","","CE-102"
"EU-110","flaking","Flaking Mills 1, 2, & 3 (Combined)","41.67","tons/hr","","","CE-102"
"EU-111","loadout","Product Loadout Station","150","tons/hr","","","CE-111"
"EU-112","storage","Hulls Silo","8","tons/hr","","","CE-112"
"EU-114","storage","Soybean Meal Storage Bin","25","tons/hr","","","CE-114"
"EU-115","storage","Whole Soybean Storage Bin","65","tons/hr","","","CE-115"
"EU-116","other","Flash Desolventizer System","","","","","CE-102"
"EU-117","storage","Soybean Meal Storage Bin","23.3","tons/hr","","","CE-117"
"EU-119","cooling","White Flake Cooling & Conveying","25","tons/hr","","","CE-119"
