"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"5511-FEU-5101","receiving","Rail receiving station for soybean meal (feed)","","","100000","tons/yr","BH-2A"
"EP01 EU03","other","Elevator Leg Vents","","","","",""
"EP01 EU05","storage","Grain Storage Bins","","","","",""
"EP01 EU E * E0 U *3E U0 , 5 U 5 E a0 0 , U, 1 &E ,0 4 E UE ,U 5 U E0 0 0 Ua 2 6,0, a 5","grain_conveying","Grain Conveying","","","4905600","tons/yr",""
"EP03 EU07","conditioning","Grain Cleaner/Hull Grinder and Grain Conveyor","876000","tons/day","","",""
"EP03 EU09","conditioning","Grain Cleaner","876000","tons/day","","",""
"EP03 EU16","conditioning","Hull Screening","61320","tons/day","","",""
"EP07 EU20 & EU21 CE-08 Pellet CMoioll l&er Pellet","pelleting","Pellet Mill","91980","tons/yr","","","CE-08"
"EP08A EU23 and EU24 CE-09 1a0nd CE-aMnde aMl Dearyl # eD2 rr yDeerc Dk e#c1k","dearyling","Dearyling Process","1314000","tons/yr","","","CE-09, CE-aMnde aMl Dearyl # eD2 rr yDeerc Dk e#c1k"
"EP08 EU23","drying","Meal Dryer Deck #1","876000","tons/day","","",""
"EP09A EU24A CE-10A Meal Dryer Deck #3","drying","Meal Dryer","1314000","tons/yr","","","CE-10A"
"EP10 EU25","cooling","Meal Cooler Deck","876000","tons/day","","",""
"EP10 EU25 CE-11 Meal Cooler Deck","cooling","Meal Cooler","1314000","tons/yr","","","CE-11"
"EP11 EU26","transportation","Meal Conveyor","700800","tons/day","","",""
"EP11 EU29","storage","Meal Storage Conveyor","700800","tons/day","","",""
"EP12 EU34","packaging","Meal Loadout - ML-1 T Lo ru a c d k o M ut eal and Hull Pellet","762120","tons/day","","",""
"EP12 EU34 ML-1 Truck (MPeeallle/ tH) ull / Hull 1,314,000","receiving","Truck Loading (Fugitive)","","","1314000","tons/yr","ML-1"
"EP12 E U356","packaging","Meal Loadout - ML-1 R Lo a a il d M ou e t al and Hull Pellet","876000","tons/day","","",""
"EP12 EU35 ML-1 RaPil e(Mlleet)a lL/ oHaudllo /u Htull 1,314,000","receiving","Truck Loading (Fugitive)","","","1314000","tons/yr","ML-1"
"EP13 EU36","storage","Meal Clay Storage Unit","4380","tons/day","","",""
"EP13 EU36 MC-1 Meal Clay Storage 6,570","storage","Meal Clay Storage","","","6570","tons/yr","MC-1"
"EP14 EU37 RCB Refinery Clay Storage 4,500","storage","Refinery Clay Storage","","","4500","tons/yr","RCB"
"EP16 EU15 CE-15 Expander","expansion","Expander","584000","tons/yr","","","CE-15"
"EP19 EU47 RC-2 Silica Clay Storage 450","storage","Silica Clay Storage","","","450","tons/yr","RC-2"
"EP20 EU17","conditioning","Hull Grinder","61320","tons/day","","",""
"EP20 EU17 CE-20 & 20A Hull Grinders (2 units)","grinding","Hull Grinders","91980","tons/yr","","","CE-20, CE-20A"
"EP30A **EU30 BH-30A MealT Satnokrsa)ge (2 1,143,180","storage","Meal Storage Tank (2 units)","","","1143180","tons/yr","BH-30A"
"EP31 **EU31 BH-31 Meal SuTragnek sT)anks (2 1,143,180","storage","Meal Storage Tank (2 units)","","","1143180","tons/yr","BH-31"
"EP31 **EU32 BH-31 Hull Pellet Surge Tank 1,143,180","storage","Hull Pellet Storage Tank","","","1143180","tons/yr","BH-31"
"EP44 EU44","conditioning","Conditioner","1314000","tons/day","","",""
"EP44 EU44 BH-44 CoVnedrih ttiie coa ant lee Srr ) e(beeda n 1,314,000","storage","Coal Storage","","","1314000","tons/yr","BH-44"
"EP51F EU51 Fugitive Rail Receiving","receiving","Rail Receiving (Fugitive)","1095000","tons/yr","","",""
"EU01","receiving","Rail unloading operation","","","1444500","tons/year","GR-1"
"EU01/02","receiving","Truck and Rail Receiving","1.256","tons/hour","","","EP01/01F"
"EU02","receiving","Truck unloading operation","","","1444500","tons/year","GR-1"
"EU03","receiving","Elevator legs","1444500","tons/year","","","GR-1"
"EU04","other","Drag conveyor to grain storage S-5, including enclosed drag conveyor S-5a","20000","bushels/hour","1444500","tons/year","GR-1"
"EU04a","conveying","Enclosed drag conveyor (S-5a)","20000","bushels/hour","1444500","tons/year","GR-1"
