"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1","receiving","Truck receiving operations with baghouse control and exhaust at stack Pt #1","","","648","ton/hr","truck receiving/storage baghouse"
"EU-10","boilers","Murray boiler with low NOx burners and flue gas recirculation, CEMS for NOx, and exhaust at stack Pt #20 (Boiler No. 2)","240","MMBtu/hr","","","low NOx burners, flue gas recirculation, CEMS for NOx"
"EU-11","refining","Vegetable oil refinery process with various control devices and exhaust at stack R-107 (Plant A)","60","ton/hr","","","mineral oil absorbers, baghouses"
"EU-12","pelleting","Pelletizing mill and pellet cooler with cyclone control and exhaust at stack Pt #26 (Plant A)","36000","lbs/hr","","","high efficiency cyclone"
"EU-2","receiving","Rail receiving operations with baghouse control and exhaust at stack Pt #1","","","400","ton/hr","rail receiving/storage baghouse"
"EU-3","drying","Natural gas-fired column dryer with cyclone control and exhaust at stack Pt #3","126","ton/hr","","","cyclone"
"EU-4","milling","Milling operations with RF filter baghouse control and exhaust at stack Pt #4","99","ton/hr","","","RF filter baghouse"
"EU-5","extraction","Oil extraction and processing operations with mineral oil absorber control and exhaust at stack Pt #9 (Plant A)","46","ton/hr","","","mineral oil absorber"
"EU-6","drying","Two DTDC meal dryers with cyclone control and exhaust at stack Pt #7 (Plant A)","46","ton/hr","","","cyclone"
"EU-7","control device","One cyclone for the control of meal dryers and exhaust at stack Pt #7 (Plant A)","","","","","cyclone"
"EU-8","cooling","Two DTDC meal coolers with cyclone control and exhaust at stack Pt #8 (Plant A)","46","ton/hr","","","cyclone"
"EU-9","control device","One cyclone for the control of meal coolers and exhaust at stack Pt #8 (Plant A)","","","","","cyclone"
