"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"13","evaporator","First stage rising film evaporator associated with solvent extraction equipment","20","tons/hour","","",""
"2.00","boilers","Boiler with a maximum fuel use of 571.95228 gallons per hour (gallons/hr) when using 100% grease as fuel.","","","","",""
"207 & 208","storage","Weed seed bins","","","5000","bushels/day",""
"213 & 214","screw_conveyor","Totally enclosed soybean screw conveyors operated in series","150","bushels/hour","","",""
"304","bucket_elevator","Dry soybean transfer bucket elevator","5000","bushels/hour","","","baghouse #10"
"307","bucket_elevator","Dry soybean transfer bucket elevator","5000","bushels/hour","","","baghouse #9"
"3 meal sifters, pneumatic hull conveying system","conditioning","Sifting and conveying equipment for soybean processing","","","100.5","tons/hour",""
"400","drag_conveyor","Totally enclosed dry soybean drag conveyor","5000","bushels/hour","","","baghouse #3"
"400A","drag_conveyor","Totally enclosed dry soybean drag conveyor","5000","bushels/hour","","","baghouse #3"
"427, 428, & 429","drag_conveyor","Totally enclosed soybean meal drag conveyors operated in series","5000","bushels/hour","","",""
"447","drag_conveyor","Totally enclosed soybean drag conveyor","5000","bushels/hour","","","baghouse #10"
"44% meal tank","storage","One (1) 44% meal tank, constructed in 1986","500","tons","","","stack point # S-6"
"453","drag_conveyor","Totally enclosed dry soybean drag conveyor","5000","bushels/hour","","","baghouse #9"
"454","drag_conveyor","Totally enclosed soybean drag conveyor","5000","bushels/hour","","","baghouse #10"
"48% meal tank","storage","One (1) 48% meal tank, constructed in 1986","1000","tons","","","stack point # S-6"
"48% meal tank, 44% meal tank","storage","Two meal tanks","","","","",""
"4 soybean storage tanks, 18 storage bins, 2 weed seed bins (207 & 150208)","storage","Storage for various materials","","","","",""
"809 A & B","storage","Hexane tanks","18800","gallons","","",""
"BE 300","conveying","One (1) dry soybean meal transfer bucket elevator, constructed in 1986","100.5","tons/hour","","","bag house #2"
"Boiler #1 (60 MMBtu/hr)","boilers","Boiler for heating with various fuels","60","MMBtu/hr","","","Stack S-16"
"Boiler #1 (60 MMBTU/HR)","boilers","Boiler with a rated capacity of 60 MMBTU/hr","60","MMBTU/hr","","",""
"boiler #2","boiling","One (1) boiler, identified as Boiler #2, constructed in 1996","75","MMBtu/hour","","","stack point # S-17"
"Boiler #2","boilers","Natural gas; and fuel oils no. 2, 4, 5, and 6 fired boiler","","","794.13","MMCF of natural gas per twelve (12) consecutive month period","Baghouse #5"
"Boiler #2 (75 MMBtu/hr)","boilers","Boiler for heating with various fuels","75","MMBtu/hr","","","Stack S-17"
"Boiler #2 (75 MMBTU/HR)","boilers","Boiler with a rated capacity of 75 MMBTU/hr","75","MMBTU/hr","","",""
"coarse cut aspiration","aspiration","One (1) coarse cut aspiration, constructed in 1994","150","bushels/hour","","","cyclone #1, bag house #3"
"Column Dryer","combustion","Natural Gas Combustion Only Column Dryer","29.0","MMBtu/hr","","","EU-16, EU-13"
"Cracker Roll 1 (EU-6)","cracking","Cracker Roll equipment with baghouse control device","","","","","PM"
"Cracker Roll 2 (EU-6)","cracking","Cracker Roll equipment with baghouse control device","","","","","PM"
"Cracker Roll 3 (EU-6)","cracking","Cracker Roll equipment with baghouse control device","","","","","PM"
"Cracker Roll 4 (EU-6)","cracking","Cracker Roll equipment with baghouse control device","","","","","PM"
"Cracker Roll 5 (EU-6)","cracking","Cracker Roll equipment with baghouse control device","","","","","PM"
"Cyclone#1","cycling","Coarse Cut Aspiration Cyclone #1","","","4.5","ton/hr","EU-16, EU-13"
"Cyclone#2","cycling","Fine Cut Aspiration Cyclone #2","","","4.5","ton/hr","EU-16, EU-13"
"Cyclone#3","cycling","Hull Storage (hull grinder) Cyclone #3","","","4.5","ton/hr","EU-16, EU-13"
"Cyclone#4","cycling","Cyclone #4 (rotary conditioner, DC-404, DC-405, DC-406, DC-407, flaker banks 1 Cyclone#4)","","","93.75","ton/hr","EU-16, EU-13"
"Cyclone#6","cycling","DTDC Meal Dryer Cyclone #6","","","93.75","ton/hr","EU-16, EU-13"
"Cyclone#7","cycling","DTDC Meal Dryer Cyclone #7","","","93.75","ton/hr","EU-16, EU-13"
"Cyclone#8","cycling","DTDC Meal Cooler Cyclone #8","","","93.75","ton/hr","EU-16, EU-13"
"Cyclone#9","cycling","DTDC Meal Cooler Cyclone #9","","","93.75","ton/hr","EU-16, EU-13"
"DC-401 & 403","conveying","Two (2) totally enclosed cracked soybean drag conveyor operated in series, constructed in 1986","3350","bushels/hour","","","bag house #3"
"DC-404, 405, 406 & 407","conveying","Four (4) totally enclosed conditioned soybean drag conveyor, constructed in 1986","3350","bushels/hour","","","cyclone #4"
"DC-404, DC-405, DC-406, DC-407","conveying","Four totally enclosed conditioned soybean drag conveyors","3350","bushels/hour","","","cyclone #4"
