"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-010000, EU-020000, EU-030000, EU-040000, EU-050000, EU-060000, EU-070000, EU-080000, EU-090000, EU-100000, EU-110000, EU-120000","conveyor_systems","Flaking Rolls No. 1 through No. 12 and Conveyors","","","2361696","tons/yr",""
"EU-010100","conveyor_systems","Meal Reclaim Conveyor and Meal Reclaim Leg","","","1686300","tons/yr",""
"EU-020000","conveyor_systems","Discharge Conveyors, Bean Receiving Legs, and Bin Feed Conveyors","","","1686300","tons/yr",""
"EU-020200, EU-030200, EU-040200, EU-230200, EU-020000, EU-030000, EU-040000, EU-230000","hammer_mill","Meal Hammer Mill Feeders No. 1, No. 2 and No. 3, Meal Hammer Mills No. 1, No. 2 and No. 3, Meal Hammer Mill Feeder No. 5, Meal Hammer Mill No. 5","","","1686300","tons/yr",""
"EU-020300, EU-020400, EU-010100, EU-010300","conveyor_systems","Grinding Discharge Conveyor, Hammer Mill Mixing Conveyor, Meal L-Path Conveyor, and Meal Hammer Mill Feed Conveyor","","","1686300","tons/yr",""
"EU-020500","conveyor_systems","Meal Storage Feed Conveyor","","","1686300","tons/yr",""
"EU-030000","truck_dumps","Truck Dumps No. 1 and No. 2","","","2401836","tons/yr",""
"EU-040000","conveyor_systems","Cross Bins, Day Bin Leg, Rail Collection and Discharge Conveyors, Discharge Bins, and Bin Cross Conveyors","","","1686300","tons/yr",""
"EU-050000","conveyor_systems","Pellet Hulls Conveyor to Loadout, Meal Reclaim Conveyor and Meal Reclaim Leg","","","1686300","tons/yr",""
"EU-050000, EU-050200, EU-050100","hammer_mill","Hull Hammer Mill, Hull Hammer Mill Feeder, and Hull Hammer Mill Plenum","","","1686300","tons/yr",""
"EU-050300","truck_loader","Truck Loader No. 1 and No. 2 (captured)","","","1686300","tons/yr",""
"EU-070300","conveyor_systems","Truck Meal Loadout Feed Conveyor, and Truck Collection Conveyor","","","1686300","tons/yr",""
"EU-080000","bin_loadout","Truck and Rail Pelleted Hull Loadout Bins, Meal Storage Feed Conveyor, Truck Meal Loadout Feed Conveyor, and Truck Collection Conveyor","","","1686300","tons/yr",""
"EU-120100","aspiration_systems","Whole Bean Aspiration No. 1 and No. 2","","","1686300","tons/yr",""
"EU-121300","conveyor_systems","VSC Feed Leg, VSC Leg Feed Conveyor, Screener Feed Conveyor and Conditioned Bean Feed Conveyor","","","1686300","tons/yr",""
"EU-130000","bin_loadout","Rail Meal Loadout Bin and Truck Meal Loadout Bin (captured)","","","1914061","tons/yr",""
"EU-130100, EU-150100, EU-160100","aspiration_systems","Secondary Aspirator No. 1 and No. 2, Feed Day Tank Conveyor, and Day Bin Vent","","","1686300","tons/yr",""
"EU-160000","conveyor_systems","Pellet Hulls Storage Conveyor, Screenings Weight Belt and Conditioner Bean Loop Path","","","1686300","tons/yr",""
"EU-160000, EU-160500, EU-420000","tank_systems","Day Tank (with Aspirator and Cyclone)","","","1686300","tons/yr",""
"EU-220000","rail_loadout","Rail Car Loadout (Pellets/Hulls)","","","1686300","tons/yr",""
"EU-310000","conveyor_systems","Screenings Weight Belt","","","1686300","tons/yr",""
"EU-310200","grinder","Pod Grinder/Destoner","","","1686300","tons/yr",""
"EU-50000","screener","Screener and Screenings Tank","","","1686300","tons/yr",""
"EU-50100","conveyor_systems","Pelleted Hulls Leg","","","1686300","tons/yr",""
"EU-50300","conveyor_systems","Screenings Recycle Leg and Bean Weigh Scale","","","1686300","tons/yr",""
"EU-50300, EU-50400","tank_systems","Kaolin Receiving Tank and Hull Overflow Tank","","","1686300","tons/yr",""
"EU-50400","screw_conveyor","Hulls Addition Screw","","","1686300","tons/yr",""
