"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"002-015","generators","Emergency Generator","","","","",""
"003-003","reactors","Poly 2 Poly 2 Reactor","","","","",""
"003-051","storage tanks","Adhesive and IOA Flush Tank (100 gallons)","100","gallons","","",""
"003-078","cleaning equipment","Die Cleaning 92-A-655-S3","","","","",""
"003-114","coating equipment","ST13 Coater Head Enclosure 16-A-374-S2","1400","lb/hr","","","CH Enclosure, Pan"
"003-115","coating equipment","ST13 Coater Head Pan 16-A-375-S2","1400","lb/hr","","","CH Enclosure, Pan"
"003-116","coating equipment","ST13 Chamber Entrance 16-A-376-S3","1400","lb/hr","","","CH Enclosure, Pan"
"003-119","coating equipment","ST13 Chamber Exit 16-A-377-S2","1400","lb/hr","","","CH Enclosure, Pan"
"003-120","coating equipment","ST13 Winder Exhaust 16-A-378-S2","1400","lb/hr","","","CH Enclosure, Pan"
"003-121","storage tanks","Batch Storage Mix Tank (2878 gallons)","2878","gallons","","",""
"004-005","oven","Line 1N Oven (92-A-653-S2)","2283","lb/hr","","","1NADH Hold Tank (Internally Vented)"
"004-006","dryer","Line 2NA Dryer 1 (92-A-653-S2)","1800","ft2/hr","","","1NADH Hold Tank (Internally Vented)"
"004-012","oven","Line 5N Oven 1 and 2 (92-A-653-S2)","1800","lb/hr","","","1NADH Hold Tank (Internally Vented)"
"005-054","milling equipment","Mogul 1A (76-A-269)","350","lb/hr","","",""
"007-005","ovens","Line 1N Oven (Coating)","2283","lb/hr","","","05-A-448-S9"
"008-001","boilers","Pump House Boiler (92-A-653-S4)","2.2","MMBtu/hr","","",""
"008-002","pumps","Firewater Diesel Pump (92-A-653-S4)","340","bhp","","",""
"010-006","storage tanks","Solvent Storage Tank (Recovered Solvent)","","","","",""
"019-002","coating equipment","7N Maker – Coating Exhaust Station (94-A-167-S1)","672000","cf/hr","","",""
