"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-09","dryer","Dryer and Baghouse for South Plant E-0","","","2.1","tons/hr","S-2612: Cyclone, S-2611: Baghouse"
"EP-10","dryer","Dryer and Baghouse for South Plant E-2","","","2.2","tons/hr","S-2661: Baghouse, S-2666: Cyclone"
"EP-11","bucket elevator","Bucket Elevator, Hopper, and Baghouse for South Plant PKG","8","ton/hr","","","S-2735: Baghouse"
"EP-112","dryer","Amino Acid Dryer and Cyclone for Amino Acid","1.16","tons/hr","","","CY-2741A: Cyclone"
"EP-122","dryer","Amino Acid Dryer and Cyclone for Amino Acid (dry)","1.16","tons/hr","","","CY-2741B: Cyclone"
"EP-14","dryer","Dryer and Baghouse for South Plant E-5","2.7","tons/hr","","","S-2671: Baghouse, S-2672: Cyclone"
"EP-22","dryer","Threonine Dryer and Baghouse for CY-2613","1.87","tons/hr","","","FL-2615: Baghouse"
"EP-30 & EP-30BP","boiler","Boiler #1 and Boiler #2 for EU-30A and EU-30B","78.24","MMBtu/hr","","",""
"EP-31 & EP-31BP","boiler","Boiler #3 and Boiler #4 for EU-31A and EU-31B","98.11","MMBtu/hr","","",""
"EP-33","dryer","Dryer, Cyclone, and Baghouse for North Plant E-2","1.5","tons/hr","","","FL-2615B: Baghouse, CY-2613B: Cyclone"
"EP-38","tank","Salt Tank and Bag Filter for EU-38","6","tons/hr","","","S-6701: Bag Filter"
"EP-39","bucket elevator","Bucket Elevator, Sifter, Dryer, and Baghouse for North Plant E2","1.5","tons/hr","","","FL-2615C: Baghouse, CY-2613C: Cyclone"
"EP-45","bucket elevator","Bucket Elevator, Sifter, and Dryer for South Plant","3.5","tons/hr","","","S-2683: Baghouse, S-2682: Cyclone"
