"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-1","storage","AFI-HCL Storage Tank A & B","","","","","OW - 7112"
"EP-10","storage","AFI-Activated Carbon Tank","","","","",""
"EP-11","drying and cooling","AFI-MSG Counterbex Separator AFI-Dryer A & AFI-Cooler A","27000","lb/hr","","","JC-5612-A, JC-5622-A, OB-5750"
"EP-12","packaging","AFI-MSG EFC Paper Bag Packaging, AFI-MSG Fiber Drum Packaging, AFI-MSG Container Bag Packaging, AFI-MSG Paper Bag Packaging, and AFI-MSG Retail Packaging","68253","lb/hr","","","OB-6225"
"EP-13","storage","AFI-Soda Ash Silo","40000","lb/hr","","",""
"EP-18","mixing","AFI-Blending Large Ribbon Mixer & AFI-Blending Small Ribbon Mixer","3500","lb/hr","","","OB-6306"
"EP-19","fermentation","AFI-Seed Fermenter C","40000","liters","","","JC-2310-C"
"EP-20","fermentation","AFI-Main Fermenter C","230000","liters","","","JC-2411-C, JC-2412-C"
"EP-21","drying and cooling","AFI-MSG Counterbex B Separator, AFI-Dryer B & AFI-Cooler B","24500","lb/hr","","","JC-5612-B, JC-5622-B, OB-5750-B"
"EP-22","cooling","AFI-Cooling Tower Cells A, B, C, D, & E","1200000","gallons/hr","","","KT-9020-A, KT-9020-B, KT-9020-C, KT-9020-D, KT-9020-E"
"EP-23","cooling","AFI-Cooling Tower Cells A, B, C, D, & E (continued)","1575000","gallons/hr","","","KT-9020-2A, KT-9020-2B, KT-9020-2C, KT-9020-2D"
"EP-26","drying","AFI Fluidized Bed Dryer","1030","lb/hr (wet product)","","","OB-3307, JC-3305"
"EP-4","fermentation","AFI-Seed Fermenter A","40000","liters","","","JC-2310-A"
"EP-5","fermentation","AFI-Seed Fermenter B","40000","liters","","","JC-2310-B"
"EP-6","fermentation","AFI-Main Fermenter A","27000","lb/hr","","","JC-5612-A, OB-5750"
"EP-9","storage","AFI-Sodium Carbonate Slurry Tank","15150","lb/hr","","",""
