"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-10","spray booth","Mold Shop","761","lbs/hr","","","CE-10"
"EU-11","spray booth","Flat Gel Coat/Flat Chop Spray Booth #2","761","lbs/hr","","","CE-11"
"EU-13","spray booth","Spray Touch-up & Repair Operations","10.0","ounces/minute","","","EU-13, EU-14"
"EU-14","spray booth","Hand Lay-up Operations","","","","","EU-13, EU-14"
"EU-1A","spray booth","Resin Chop Spray Booth","","","761","lbs/hr","CE-1A"
"EU-2A","spray booth","Flat Gel Coat/Flat Chop Spray Booth #1","761","lbs/hr","","","CE-2A"
"EU-3A","spray booth","Gel Coat Spray Area","110","lbs/hr","","","CE-3A"
"EU-4A","spray booth","Paint Spray Booth #1","2.68","gal/hr","","","CE-4A"
"EU-9A","spray booth","Body Shop","110","lbs/hr","","","CE-9"
"EU-9B","spray booth","Interior Gel Coat Booth","600","lbs/hr","","","CE-9"
