"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"33HEAT1","space heaters","Bldg 33 Space Heater 1","9825000","Btu/hour","","",""
"33HEAT1 Bldg 33 Space Heater 1","space heaters","Space Heater 1 in Building 33","2.376","MMBtu/hr","","",""
"34HEAT1","space heaters","Bldg 34 Space Heater 1","250000","Btu/hour","","",""
"34HEAT1 Bldg 34 Space Heater 1","space heaters","Space Heater 1 in Building 34","0.25","MMBtu/hr","","",""
"56 P10C Press 10 Corona Treater","corona treaters","Press 10 Corona Treater","","","","",""
"58 P11C Press 11 Corona Treater","corona treaters","Press 11 Corona Treater","","","","",""
"5AHEAT1","space heaters","Bldg 5A Space Heater 1","130000","Btu/hour","","",""
"5AHEAT1 Bldg 5A Space Heater 1","space heaters","Space Heater 1 in Building 5A","0.13","MMBtu/hr","","",""
"5AHEAT2","space heaters","Bldg 5A Space Heater 2","130000","Btu/hour","","",""
"5AHEAT2 Bldg 5A Space Heater 2","space heaters","Space Heater 2 in Building 5A","0.13","MMBtu/hr","","",""
"5HEAT1","space heaters","Bldg 5 Space Heater 1","360000","Btu/hour","","",""
"5HEAT1 Bldg 5 Space Heater 1","space heaters","Space Heater 1 in Building 5","0.3","MMBtu/hr","","",""
"5HEAT2","space heaters","Bldg 5 Space Heater 2","360000","Btu/hour","","",""
"5HEAT2 Bldg 5 Space Heater 2","space heaters","Space Heater 2 in Building 5","0.3","MMBtu/hr","","",""
"5HEAT3","space heaters","Bldg 5 Space Heater 3","360000","Btu/hour","","",""
"5HEAT3 Bldg 5 Space Heater 3","space heaters","Space Heater 3 in Building 5","0.3","MMBtu/hr","","",""
"5HEAT4","space heaters","Bldg 5 Space Heater 4","360000","Btu/hour","","",""
"5HEAT4 Bldg 5 Space Heater 4","space heaters","Space Heater 4 in Building 5","0.3","MMBtu/hr","","",""
"63","mixing and storage","Ink Mix and Storage Room","276000","lb/hr","","",""
"63 INKMIX Ink Mix and Storage Room","ink mixing and storage","Ink Mix and Storage Room","0.276","tons/hr","","",""
"69 EBCU5 Electron Beam Curing Unit 5","electron beam curing units","Electron Beam Curing Unit 5","","","","",""
"70 TRETL Film Treater – large","film treaters","Film Treater - Large","","","","",""
"73","paint booths","Maintenance Paint Booth","4000","cans/hr","","","Fiberglass Filter Pad"
"76 P15C Press 15 Corona Treater","corona treaters","Press 15 Corona Treater","","","","",""
"7AHEAT1","space heaters","Bldg 7A Space Heater 1","800000","Btu/hour","","",""
"7AHEAT1 Bldg 7A Space Heater 1","space heaters","Space Heater 1 in Building 7A","0.8","MMBtu/hr","","",""
"82 P14C2 Press 14 Corona Treater 2","corona treaters","Press 14 Corona Treater 2","","","","",""
"90 P14C Press 14 Corona Treater 1","corona treaters","Press 14 Corona Treater 1","","","","",""
