"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"DPP-001 HP Digital Printing Press","digital_printing_press","HP Digital Printing Press","","","","","CE-07"
"EG-1 EG-1 Emergency Generator 1 NA","emergency_generator","Emergency Generator 1","133.0","bhp","","","CE-15"
"EG-1 Emergency Generator","emergency_generator","Emergency Generator 1","133.0","bhp","","","CE-18"
"EG-1 Emergency Generator 1 NA","emergency_generator","Emergency Generator 1","133","bhp","","","CE-27, CE-28"
"EP-FPL Ink Blending & Storage","other","Ink Blending & Storage","3715.0","lb/hr","","","CE-16"
"EP-L Laminator No. 2 - Mist Eliminator","laminator","Laminator No. 2 - Mist Eliminator","195.12","lb/hr","","","CE-25, CE-26"
"EP-L Laminator No.2 - Mist Eliminator","laminator","Laminator No. 2 - Mist Eliminator","195.12","lb/hr","","","CE-17"
"EU CT01*","corona_treater","Corona Treater #1","3.0","kw","","","CE-01, CE-02"
"EU CT02","corona_treater","Corona Treater #2","3.0","kw","","","CE-01, CE-02"
"EU CT03","corona_treater","Corona Treater #3","5.0","kw","","","CE-01, CE-02"
"EU CT04","corona_treater","Corona Treater #4","5.0","kw","","","CE-01, CE-02"
"EU CT05","corona_treater","Corona Treater #5","10.0","kw","","","CE-01, CE-02"
"EU CT06","corona_treater","Corona Treater #6","7.5","kw","","","CE-01, CE-02"
"EU CT07","corona_treater","Corona Treater #7","10.0","kw","","","CE-01, CE-02"
"EU CT08","corona_treater","Corona Treater #8","10.0","kw","","","CE-01, CE-02"
"EU CT09","corona_treater","Corona Treater #9","30.0","kw","","","CE-01, CE-02"
"EU CT10","corona_treater","Corona Treater #10","15.0","kw","","","CE-08"
"EU CT11 & EU CT12","corona_treater","Corona Treaters #11 & #12","15.0","kw","","","CE-13, CE-14"
"EU CT13","corona_treater","Corona Treater #13","15.0","kw","","","CE-09"
"EU CT14","corona_treater","Corona Treater #14","15.0","kw","","","CE-10"
"EU CT15","corona_treater","Corona Treater #15","15.0","kw","","","CE-11"
"EU CT16 & EU CT17","corona_treater","Corona Treater #16 & #17","15.0","kw","","","CE-13"
"EU CT18; EU CT19","corona_treater","Corona Treater #18 & #19","15.0","kw","","","CE-15"
"EU FLX51.286","flexographic_press","Flexographic Press No. 5","","","","","CE-01, CE-02"
"EU FLX51.286-D1","dryer","Flexographic Press No. 5 Deck Dryer","","","","","CE-01, CE-02"
"EU FLX51.286-D2","dryer","Flexographic Press No. 5 Tunnel Dryer","","","","","CE-01, CE-02"
"EU FLX54.785-A","flexographic_press","Flexographic Press No. 6","","","","","CE-08"
"EU FLX54.785-D","dryer","Flexographic Press No. 6 Dryer","","","","","CE-08"
"EU FLX57.987-A","flexographic_press","Flexographic Press 57.987","","","","","CE-09"
"EU FLX57.987-D","dryer","Flexographic Press 57.987 Dryer","","","","","CE-09"
"EU FLX59.406-A","flexographic_press","Flexographic Press 59.406","","","","","CE-10"
"EU FLX59.406-D","dryer","Flexographic Press 59.406 Dryer","","","","","CE-10"
"EU FLX59.407-A","flexographic_press","Flexographic Press 59.407","","","","","CE-11"
"EU FLX59.407-D","dryer","Flexographic Press 59.407 Dryer","","","","","CE-11"
"EU FLX7660-A*","flexographic_press","Flexographic Press No. 2","","","","","CE-03, CE-04"
"EU FLX7660-D*","dryer","Flexographic Press No. 2 Dryer","","","","","CE-03, CE-04"
"EU FLX7719-A","flexographic_press","Vision Flexographic Press","","","","","CE-03, CE-04"
"EU FLX7719-D","dryer","Vision Flexographic Press Dryer","","","","","CE-03, CE-04"
"EU LAM01-A","laminator","Adhesive Laminator No. 1","","","","","CE-03, CE-04"
"EU LAM01-D","dryer","Adhesive Laminator No. 1 Dryer","","","","","CE-03, CE-04"
"EU LAM03-A","laminator","Adhesive Laminator No. 3","","","","","CE-01, CE-02"
"EU LAM03-D","dryer","Adhesive Laminator No. 3 Dryer","","","","","CE-01, CE-02"
"EU LAM04","laminator","Adhesive Laminator No. 4","","","","","CE-13, CE-14"
"EU LAM04 Adhesive Laminator No. 4","laminator","Adhesive Laminator No. 4","","","","","CE-12"
"EU LAM04-D1; EU LAM04-D2","dryer","Adhesive Laminator No. 4 Dryer A & D","","","","","CE-12"
"EU LAM05","laminator","Adhesive Laminator No. 5","","","","","CE-19, CE-20"
"EU LAM05-D1; EU LAM05-D2","dryer","Adhesive Laminator No. 5 Dryer A & D","","","","","CE-19, CE-20"
"EU LAM06","laminator","Adhesive Laminator No. 6","","","","","CE-21, CE-22"
"EU LAM06 Adhesive Laminator No. 6","laminator","Adhesive Laminator No. 6","","","","","CE-14"
"EU LAM06-D1; EU LAM06-D2","dryer","Adhesive Laminator No. 6 Dryer A & D","","","","","CE-14"
"EU RENZ *","other","Renzmann Parts Washer","","","","","CE-05, CE-06"
"EU RG01-A","rotogravure_press","Rotogravure Unit No. 1","","","","","CE-03, CE-04"
"EU RG01-D","dryer","Rotogravure Unit No. 1 Dryer","","","","","CE-03, CE-04"
"EU RG02-A","rotogravure_press","Rotogravure Unit No. 2","","","","","CE-05, CE-06"
"EU RG02-D","dryer","Rotogravure Unit No. 2 Dryer","","","","","CE-05, CE-06"
"EU RG03-A","rotogravure_press","Rotogravure No. 3","","","","","CE-01, CE-02"
"EU RG03-D","dryer","Rotogravure No. 3 Dryer","","","","","CE-01, CE-02"
