"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1","receiving","Scrap Handling","","","","","CE-2"
"EU-10","boilers","Tempering Furnace","4","MMBtu/hr","","","CE-2"
"EU-12 & EU-15","other","Wheel Cleaner & Wheel Peener (respectively)","90000","lb/hr","","","CE-6"
"EU-17A","other","Riser Knockout (Coated Sand)","1.75","ton/hr","","","CE-2"
"EU-17B","other","Riser Knockout (Rice Hulls)","0.05","ton/hr","","","CE-2"
"EU-18","other","Core Baking Station (Coated Sand)","1.75","ton/hr","","","CE-2"
"EU-19","other","Cope Cleaner","300","lb/hr","","","CE-7, CE-8"
"EU-2","storage","Lime Storage Silo","20","ton/hr","","","CE-2"
"EU-20A, EU-23A, EU-20B & EU-23B","other","Cope & Drag Coating Booths, Baghouse Preheaters (respectively)","45.5","lb/hr per booth","","","CE-21"
"EU-21","other","Mold Holding Oven","5","MMBtu/hr","","","CE-2"
"EU-24","other","Sand Silo","12","ton/hr","","","CE-9"
"EU-25, EU-26A, EU-26B, EU-27 & EU-28","other","Sand Transfer, Sand Heater, Sand Mixer, Distribution Cyclone (respectively)","34.1","ton/hr","","","CE-14, CE-15"
"EU-32","other","Graphite Mold Machining (Graphite)","174","lb/hr","","","CE-17"
"EU-34","other","Mold Preheat Oven (3)","4.5","MMBtu/hr/unit","","","CE-2"
"EU-37","other","Tube Curing","2.9","MMBtu/hr","","","CE-2"
"EU-38","other","Natural Gas Fired Emergency Generator","62","Bhp","","","CE-44"
"EU-3B","boilers","Electric Arc Furnaces (3) with Co-Jet Technology","145.2","tons/hour","","","CE-1"
"EU-4","cooling","Ladle Preheat","0.009","mmcf/hr","","","CE-2"
"EU-6A","cooling","Enclosed Pressure Pouring/Casting","42","tons/hr","","","CE-3"
"EU-7","other","Hot Wheel Grinders","90","wheel/hr","","","CE-18"
"EU-8A & EU-8B","other","Hubcutters (3)","4.2","gallons/hr","","","CE-3, CE-4"
"EU-9","boilers","Normalizing Furnace","39.4","MMBtu/hr","","","CE-2"
