"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-01","boilers","NG Reciprocating Compressor Engine 1400 hp","","","14.0","MMBtu/hr",""
"EU-02","boilers","NG Reciprocating Compressor Engine 1400 hp","","","14.0","MMBtu/hr",""
"EU-03","boilers","NG Reciprocating Compressor Engine 1400 hp","","","14.0","MMBtu/hr",""
"EU-04","boilers","NG Reciprocating Compressor Engine 1400 hp","","","14.0","MMBtu/hr",""
"EU-05","boilers","NG Reciprocating Compressor Engine 1400 hp","","","14.0","MMBtu/hr",""
"EU-06","boilers","NG Reciprocating Compressor Engine 1400 hp","","","14.0","MMBtu/hr",""
"EU-07","boilers","NG Reciprocating Compressor Engine 2000 hp","18.0","MMBtu/hr","","",""
"EU-08","boilers","NG Reciprocating Compressor Engine 2700 hp","21.6","MMBtu/hr","","",""
"EU-09","boilers","Natural Gas Generator Engine - 370 hp","4.07","MMBtu/hr","","",""
"EU-10","boilers","Natural Gas Generator Engine - 370 hp","4.07","MMBtu/hr","","",""
"EU-11","boilers","Natural Gas Boiler","3.0","MMBtu/hr","","",""
"EU-15","boilers","Compressor Turbine No. 1","86853","cf/hr","","","CE-15"
"EU-16","boilers","Compressor Turbine No. 2","86853","cf/hr","","","CE-16"
"EU-17","boilers","Auxiliary Generator Engine No. 3","880","bhp","","",""
