"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"106-1 Fibersol Bag Packer Transport Load Collector 99-A-163-S4","other","Bag Packer Transport Load Collector","","","","",""
"106-2 Fibersol Bag Packer Dust Collector 04-A-302-S4","other","Bag Packer Dust Collector","","","","",""
"11-30 No. 1 Pellet Cooler 94-A-422-S4","cooling","Pellet Cooler","","","","",""
"11-31 No. 2 Pellet Cooler 11-A-441-S2","cooling","Pellet Cooler","","","","",""
"11-32 No. 3 Pellet Cooler 11-A-442-S2","cooling","Pellet Cooler","","","","",""
"11-33 No. 4 Pellet Cooler 11-A-443-S2","cooling","Pellet Cooler","","","","",""
"117-10A No. 2 Day Bin 13-A-106-S3","other","Day Bin","","","","",""
"117-10B No. 2 Torus Dryer 13-A-106-S3","other","Torus Dryer","","","","",""
"117-6 Dextrin Feed 1 Load Collector 13-A-106-S2","other","Dextrin Feed Load Collector","","","","",""
"117-7A No. 1 Hold Screw 13-A-106-S3","other","Hold Screw","","","","",""
"117-7B No. 1 Slurry Tank 13-A-106-S3","other","Slurry Tank","","","","",""
"117-8A No. 2 Hold Screw 13-A-106-S3","other","Hold Screw","","","","",""
"117-8B No. 2 Slurry Tank 13-A-106-S3","other","Slurry Tank","","","","",""
"117-9A No. 1 Day Bin 13-A-106-S3","other","Day Bin","","","","",""
"117-9B No. 1 Torus Dryer 13-A-106-S3","other","Torus Dryer","","","","",""
"118-1 No. 1 Fibersol Spray Dryer 96-A-1029-S6","other","Fibersol Spray Dryer","","","","",""
"118-2A Transport Airlock 1 118-2","other","Transport Airlock","","","","",""
"125-4 Dextrin Feed No. 2 Load Collector 98-A-464-S6","other","Dextrin Feed Load Collector","","","","",""
"125-5A No. 3 Roaster 98-A-465-S7","other","Roaster","","","","",""
"125-5B No. 3 Hold screw 04-A-300-S3","other","Hold Screw","","","","",""
"125-5D No. 3 Slurry Tank 04-A-300-S3","other","Slurry Tank","","","","",""
"125-6A No. 3 Day Bin 04-A-300-S3","other","Day Bin","","","","",""
"125-6E No. 3 Torus Dryer 04-A-300-S3","other","Torus Dryer","","","","",""
"125-6 No. 3 Dextrin Dust Collector 04-A-300-S3","other","Dextrin Dust Collector","","","","",""
"125-7A No. 4 Roaster 04-A-300-S3","other","Roaster","","","","",""
"125-7B No. 4 Hold screw 04-A-300-S3","other","Hold Screw","","","","",""
"125-7D No. 4 Slurry Tank 04-A-300-S3","other","Slurry Tank","","","","",""
"125-8A No. 4 Day Bin 04-A-300-S3","other","Day Bin","","","","",""
"125-8B No. 4 Torus Dryer 04-A-300-S3","other","Torus Dryer","","","","",""
"125-8 No. 4 Dextrin Dust Collector 04-A-300-S3","other","Dextrin Dust Collector","","","","",""
"127-8 Fibersol Tote Packer Storage Hopper 1 14-A-288-S1","other","Fibersol Tote Packer Storage Hopper","","","","",""
"150-1 CR Silo No. 1 05-A-709-S1","storage","Silo","","","","",""
"150-2 CR Silo No. 2 05-A-710-S1","storage","Silo","","","","",""
"150-3 CR Silo No. 3 05-A-711-S1","storage","Silo","","","","",""
"216-02 Fluid Bed Germ Dryer 236-02","drying","Fluid Bed Germ Dryer","","","","",""
"216-03 Fluid Bed Germ Cooler 236-03","drying","Fluid Bed Germ Cooler","","","","",""
"236-01 Fiber Dryer #1 236-01","drying","Fiber Dryer","","","","",""
"236-02 Fiber Dryer #2 236-02","drying","Fiber Dryer","","","","",""
"236-03 Fiber Dryer #3 236-03","drying","Fiber Dryer","","","","",""
