"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EPAH-1","baghouse","Fly Ash Handling","","","120000","lbs/hr","CEAH-1, CEAH-2, CEAH-3"
"EPAH-2","baghouse","Fly Ash Handling","120000","lbs/hr","","","CEAH-4"
"EPAH-3","baghouse","Fly Ash Handling","60000","lbs/hr","","","CEAH-5"
"EPAH-4","baghouse","Bed Ash Storage","120000","lbs/hr","","","CEAH-8"
"EPAH-5","baghouse","Bed Ash Handling","60000","lbs/hr","","","CEAH-5"
"EPAH-6","baghouse","Bed Ash Handling","60000","lbs/hr","","","CEAH-6"
"EPAH-8","baghouse","Bed Ash Storage","120000","lbs/hr","","","CEAH-8"
"EPCH-1","baghouse","Coal Receiving","2400000","lbs/hr","","","CECH-1"
"EPCH-2","baghouse","Coal Transfer & Storage","2400000","lbs/hr","","","CECH-2"
"EPCH-3","baghouse","Coal Preparation","3800000","lbs/hr","","","CECH-3"
"EPCOG-1","boiler","No. 1 Circulating Fluidized Bed Boiler - Coal","1500","MMBtu/hr","","","CECOG-1A, CECOG-1B, CECOG-1C"
"EPCOG-2","boiler","No. 2 Circulating Fluidized Bed Boiler - Coal","1500","MMBtu/hr","","","CECOG-2A, CECOG-2B, CECOG-2C"
"EPCOG-3","boiler","No. 3 Circulating Fluidized Bed Boiler - Coal","1500","MMBtu/hr","","","CECOG-3A, CECOG-3B, CECOG-3C"
"EPCOG-4","boiler","No. 1 Natural Gas Fired Boiler","243.7","MMBtu/hr","","","MECOG-4A, MECOG-4B, MECOG-4C"
"EPCOG-5","boiler","No. 2 Natural Gas Fired Boiler","243.7","MMBtu/hr","","","MECOG-5A, MECOG-5B, MECOG-5C"
"EPCT-1","drift eliminator","Cooling Tower Cell #1","","","60000","gal/min","CECT-1"
"EPCT-2","drift eliminator","Cooling Tower Cell #2","","","60000","gal/min","CECT-2"
"EPCT-3","drift eliminator","Cooling Tower Cell #3","","","60000","gal/min","CECT-3"
"EPCT-4","drift eliminator","Cooling Tower Cell #4","","","60000","gal/min","CECT-4"
"EPIC-1","generator","Emergency Generator (1,490 bhp)","1490","bhp","","",""
"EPLH-1","baghouse","Limestone Receiving","500000","lbs/hr","","","CELH-1"
"EPLH-2","bin vent filter","Limestone Transfer & Storage","500000","lbs/hr","","","CELH-2"
"EPLH-3","bin vent filter","Limestone Transfer & Storage","500000","lbs/hr","","","CELH-3"
