"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"CFRN50","boiler","CAA Furnace #50 (chamber)","0.03","MMBtu/hr","","",""
"CRUC50","other","Crucibles (3 units): #50 Holding Furnace (EU CRUC50)","","","","",""
"CRUC60","other","Crucibles (3 units): #60 Holding Furnace (EU CRUC60)","","","","",""
"ELUBE01","other","Electrostatic Lube-Treatment Line (EU ELUBE01)","","","","",""
"ELUBE02","other","Electrostatic Lube-14 Slitter (EU ELUBE02)","","","","",""
"EU-001","boiler","Preheat Furnace #1 (chamber)","9600000","cubic feet per year","","",""
"EU-002","boiler","PAHTS 144"" Taper Mill","2500000","cubic feet per year","","",""
"EU-003","boiler","220"" Hot Mill","2500000","cubic feet per year","","",""
"EU-004","boiler","160"" Hot Mill","2500000","cubic feet per year","","",""
"EU-005","boiler","144"" Hot Mill","2500000","cubic feet per year","","",""
"EU-006","boiler","Pig Drying Furnace 5","12000000","cubic feet per year","","",""
"EU-007","boiler","Cold Mill #1 (chamber)","2500000","cubic feet per year","","",""
"EU-008","boiler","Cold Mill #1","2500000","cubic feet per year","","",""
"EU-009","boiler","#50 Holding Furnace (chamber)","9600000","cubic feet per year","","",""
"EU-010","boiler","Holding Furnace #18 (chamber)","9600000","cubic feet per year","","",""
"EU-011","boiler","Holding Furnace #17 (chamber)","9600000","cubic feet per year","","",""
"EU-012","boiler","Holding Furnace #16 (chamber)","9600000","cubic feet per year","","",""
"EU-013","boiler","Holding Furnace #15 (chamber)","9600000","cubic feet per year","","",""
"EU-014","boiler","Heat Treat Furnace #14","21600000","cubic feet per year","","",""
"EU-015","boiler","Holding Furnace #5 (chamber)","9600000","cubic feet per year","","",""
"EU-016","boiler","Holding Furnace #4 (chamber)","9600000","cubic feet per year","","",""
"EU-017","boiler","Holding Furnace #3 (chamber)","9600000","cubic feet per year","","",""
"EU-018","boiler","Holding Furnace #2 (chamber)","9600000","cubic feet per year","","",""
"EU-019","boiler","Preheat Furnace #23 (chamber)","9600000","cubic feet per year","","",""
"EU-020","boiler","Preheat Furnace #22 (chamber)","9600000","cubic feet per year","","",""
"EU-021","boiler","Preheat Furnace #21 (chamber)","9600000","cubic feet per year","","",""
"EU-022","boiler","Preheat Furnace #20 (chamber)","9600000","cubic feet per year","","",""
"EU-023","boiler","Preheat Furnace #19 (chamber)","9600000","cubic feet per year","","",""
"EU-024","boiler","Preheat Furnace #18 (chamber)","9600000","cubic feet per year","","",""
"EU-025","boiler","Preheat Furnace #17 (chamber)","9600000","cubic feet per year","","",""
"EU-026","boiler","Preheat Furnace #16 (chamber)","9600000","cubic feet per year","","",""
"EU-027","boiler","Preheat Furnace #13 (chamber)","9600000","cubic feet per year","","",""
"EU-028","boiler","Preheat Furnace #12 (chamber)","9600000","cubic feet per year","","",""
"EU-030","boiler","CAA Furnace #52 (chamber)","","","","",""
"EU-031","boiler","CAA Furnace #51 (chamber)","","","","",""
"EU-032","boiler","CAA Furnace #50 (chamber)","","","","",""
"EU-033","boiler","CAA Furnace #53 (chamber)","","","","",""
"EU-034","boiler","CAA Furnace #29 (chamber)","","","","",""
"EU-035","boiler","CAA Furnace #28 (chamber)","","","","",""
"EU-036","boiler","CAA Furnace #27 (chamber)","","","","",""
"EU-037","boiler","CAA Furnace #26 (chamber)","","","","",""
"EU-038","boiler","CAA Furnace #25 (chamber)","","","","",""
"EU-050","boiler","CAA Furnace #50","","","","",""
"EU-051","boiler","CAA Furnace #51","","","","",""
"EU-052","boiler","CAA Furnace #52","","","","",""
"EU-053","boiler","CAA Furnace #53","","","","",""
"EU-054","boiler","CAA Furnace #54","","","","",""
"EU-063","boiler","Caustic Dip Furnace","","","","",""
"EU-085","boiler","CAA Furnace #3","","","","",""
"EU-134","boiler","CAA Furnace #29","","","","",""
"EU-135","boiler","CAA Furnace #28","","","","",""
"EU-136","boiler","CAA Furnace #27","","","","",""
"EU-137","boiler","CAA Furnace #26","","","","",""
"EU-138","boiler","CAA Furnace #25","","","","",""
"EU-139","boiler","CAA Furnace #21","","","","",""
"EU-140","boiler","CAA Furnace #20","","","","",""
"EU-141","boiler","CAA Furnace #19","","","","",""
"EU-142","boiler","CAA Furnace #18","","","","",""
"FILT02","other","#2 In-Line Fluxer Filter Box (EU FILT02)","","","","",""
"FILT03","other","#3 In-Line Fluxer Filter Box (EU FILT03)","","","","",""
"FILT04","other","#4 In-Line Fluxer Filter Box (EU FILT04)","","","","",""
"FILT05","other","#5 Filter Box (EU FILT05)","","","","",""
"FILT10","other","#10 Filter Box (EU FILT10)","","","","",""
"FILT15","other","#15 In-Line Fluxer Filter Box (EU FILT15)","","","","",""
"FILT16","other","#16 In-Line Fluxer Filter Box (EU FILT16)","","","","",""
"FILT17","other","#17 In-Line Fluxer Filter Box (EU FILT17)","","","","",""
"FILT18","other","#18 In-Line Fluxer Filter Box (EU FILT18)","","","","",""
"FUG-GP","other","General Plant (fugitive emissions)","","","","",""
"FUG-GP_V1","other","Stores/Off Site Consumption (fugitive emissions)","","","","",""
"FUG-GP_V2","other","Stores/Off Site Consumption (fugitive emissions)","","","","",""
"FUG-GP_V3","other","Stores/Off Site Consumption (fugitive emissions)","","","","",""
