"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1","painting and coating","Paint Booth","","","","","CE-1A&B, CE-2A&B"
"EU-1 Paint Booth","painting and coating","Paint Booth","","","","","CE-1A&B"
"EU-2","painting and coating","Paint Booth","","","","","CE-4A&B"
"EU-2 Paint Booth","painting and coating","Paint Booth","","","","","CE-4A&B"
"EU-7","boiler","Boiler #1 (3.969 MMBtu/hr, Natural Gas) (Exempt)","3.969","MMBtu/hr","","",""
"EU-7 Boiler #1 (3.969 MMBtu/hr, Natural Gas)","boiler","Boiler","3.969","MMBtu/hr","","","NA"
"EU-8","boiler","Boiler #2 (3.969 MMBtu/hr, Natural Gas) (Exempt)","3.969","MMBtu/hr","","",""
"EU-8 Boiler #2 (3.969 MMBtu/hr, Natural Gas)","boiler","Boiler","3.969","MMBtu/hr","","","NA"
"EU-CURE","oven","Cure Oven (4.0 MMBtu/hr, Natural Gas)","4.0","MMBtu/hr","","",""
"EU-CURE Cure Oven (4.0 MMBtu/hr, Natural Gas)","drying and curing","Cure Oven","4.0","MMBtu/hr","","","NA"
"EU-DRYOFF","oven","Dry Off Oven (2.0 MMBtu/hr, Natural Gas) (Exempt)","2.0","MMBtu/hr","","",""
"EU-DRYOFF Dry Off Oven (2.0 MMBtu/hr, Natural Gas)","drying and curing","Dry Off Oven","2.0","MMBtu/hr","","","NA"
"EU-PFT","painting and coating","Prime Flash Tunnel Painting and Coating (Exempt)","","","","",""
"EU-PFT Prime Flash Tunnel Painting and Coating","painting and coating","Prime Flash Tunnel Painting and Coating","","","","","CE-2A&B"
"EU-PK","painting and coating","Paint Kitchen (Internally Vented)","","","","",""
"EU-PK Paint Kitchen (Internally Vented)","painting and coating","Paint Kitchen","","","","","NA"
"EU-TFT","painting and coating","Topcoat Flash Tunnel (Exempt)","","","","",""
"EU-TFT Topcoat Flash Tunnel","painting and coating","Topcoat Flash Tunnel","","","","","CE-6A&B"
"FE-1","compression molding","Compression Molding Press (Sheet Molding Compound)","1000","lb/hr","","",""
"FE-1 EU-3 Compression Molding Press","molding and forming","Compression Molding Press","1000","lb/hr","","","NA"
"FE-2","compression molding","Compression Molding Press (Sheet Molding Compound)","1000","lb/hr","","",""
"FE-2 EU-4 Compression Molding Press","molding and forming","Compression Molding Press","1000","lb/hr","","","NA"
"FE-3","compression molding","Compression Molding Press (Sheet Molding Compound)","1000","lb/hr","","",""
"FE-3 EU-5 Compression Molding Press","molding and forming","Compression Molding Press","1000","lb/hr","","","NA"
