"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1A","drying","Pre-Expander Dryer Vent #1","","","","","CE-5"
"EU-1B","drying","Pre-Expander Dryer Vent #2","","","","","CE-5"
"EU-1C","drying","Pre-Expander Dryer Vent #3","","","","","CE-5"
"EU-2","storage","Aging Bin","","","","",""
"EU-3","milling","Block Molding System","","","","",""
"EU-3B","milling","Block Molding System","7000","lb/hr","","",""
"EU-4","storage","Fabrication and Storage","","","","",""
"EU-5A","other","Sander","","","","",""
"EU-5B","other","Mill","","","","",""
"EU-5C","other","Tri-Cor Mill","","","","",""
"EU-6","boilers","Natural Gas Boiler","12.6","MMBtu/hr","","",""
