"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"CE-14-D4","baghouse","Baghouse (East Supersack Unloading Station)","0.07","lb/hr","","",""
"EU-10-0508","tank","Jugline Purge Tote","","","","",""
"EU-100528-10","manifold","Filler Manifold","","","","",""
"EU-10-0538","trench","Filler Manifold Trench","","","","",""
"EU-10-0753","tank","#9 Emulsifier Tank 99-A-511-S2","25000","gallons/day","","",""
"EU-10-0758","tank","#10 Emulsifier Tank 99-A-512-S2","25000","gallons","","",""
"EU-10-0965","loading","K-Salt Formulation Rail Loading Spot 9","","","6700","gal/hr",""
"EU-10-1085","scale","Top-off Scale","","","","",""
"EU-10-1242","trench","High Speed Jugline Trench","","","","",""
"EU-10-3773-410","jugline","High Speed Jugline","6300","gal/hr","","",""
"EU-10-5025-445","tank","#5 Product Storage Tank 99-A-889-S3","45000","gallons","","",""
"EU-10BL-1","loading","Bulk Rail Loading 13-A-516-S2","","","6700","gal/hr",""
"EU-10BL-2","loading","Bulk Truck Loading","","","5000","gal/hr",""
"EU-10BL-3","loading","Bulk Truck Loading 98-A-002-S3","","","6019","gal/hr",""
"EU-10BL-4","loading","Bulk Product Rail Loading 02-A-221","","","6700","gal/hr",""
"EU-10D-1","tank","#4 Blend Tank 01-A-769-S1","","","","",""
"EU-10FN-2","drumline","Drumline #1","","","3425","gal/hr",""
"EU-10FUG-1","packaging","Liquid Formulations Packaging (Non-captured)","","","10925","gal/hr",""
"EU-10FUG-3","blending","Liquid Formulations Blending (Non-captured)","","","16470","gal/hr",""
"EU-10TK-21","tank","Wastewater Tank 99-A-896-S1","","","","",""
"EU-10TK-24","tank","Small Blend Tank 99-A-897-S3","2000","gallons","","",""
"EU-14-0828","tank","Product Storage Tank 01-A-826-S1","","","","",""
"EU-14-186","unloading","East Supersack Unloading Station","10000","lb/hr","","",""
"EU-14-187","unloading","West Supersack Unloading Station","10000","lb/hr","","",""
"EU-14-3632","baling","Baler (West Supersack Unloading Station)","4.7","ft3/hr","","",""
"EU-14-464","tank","Isocyanate Storage Tank 99-A-515-S1","","","","",""
"EU-14BL-1","loading","East Bulk Herbicide Loading 99-A-898","8813","gal/hr","","",""
"EU-14BL-2","loading","West Bulk Herbicide Loading 99-A-899","8813","gal/hr","","",""
"EU-14BL-3","loading/unloading","Bulk Truck Loading/Unloading 02-A-902","","","5000","gallons/hr",""
"EU-14-FUG-1","blending","Flowables (Non-Captured)","4167","lb/hr","","",""
"EU-14RV","valve","Rotary Valves 2 - Rotary Valves","","","","",""
"EU-14TK-101","storage","Product Storage Tank Q 96-A-267-S5","","","","",""
"EU-14TK-102","storage","Product Storage Tank R 96-A-268-S5","","","","",""
"EU-14TK-13","tank","West Stabilizer Tank 99-A-395-S2","545","gallons","","",""
"EU-14TK-21","tank","East Stabilizer Tank 99-A-395-S2","545","gallons","","",""
"EU-14TK-306","tank","Isocyanate Feed Tank 97-A-860-S1","","","","",""
"EU-14TK-31","tank","Residence Time Tank 93-A-138-S1","","","","",""
"EU-14TK-32","tank","Premix Tank 86-A-019-S8","4600","gallons","","",""
"EU-14TK-33","storage","Raw Material Storage Tank 99-A-513-S1","","","","",""
"EU-14TK-36","tank","Formulation Tank A 20-A-349","1200","gallons","","",""
"EU-14TK-38","tank","Product Storage Tank 99-A-514-S2","","","","",""
"EU-14TK-390","storage","Product Storage Tank S 96-A-265-S4","","","","",""
"EU-14TK-391","storage","Product Storage Tank T 96-A-266-S4","","","","",""
"EU-14TK-751","tank","Formulation Tank B 20-A-350","1200","gallons","","",""
"EU-20-0899","loading","Dicamba Rail Spot 8 03-A-312-S3","","","8400","gallons/hr",""
"EU-20-1351","loading","North D-Form Truck Loading 15-A-026-S1","8400","gal/hr","","",""
"EU-20-1411a","jugline","D-Form Jugline","3760","gal/hr","","",""
"EU-20-1447","shuttle line","D-Form Shuttle Line","5035","gal/hr","","",""
"EU-20-875","loading","Dicamba Rail Spot 7 02-A-903-S2","","","8400","gallons/hr",""
"EU-8BL-1","loading","#1 South Bulk Loading","","","5000","gal/hr",""
"EU-8BL-2","loading","#2 South Bulk Loading","","","5000","gal/hr",""
