"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-02-0161","generator","Emergency Generator","762","bhp","","","NA"
"EU-13-1037","wastewater treatment","A-Unit CWT East","","","4000","gallons/min","Mist Eliminator"
"EU-13-1038","wastewater treatment","A-Unit CWT Center","","","4000","gpm","Mist Eliminator"
"EU-13-1039","wastewater treatment","A-Unit CWT West","","","4000","gpm","Mist Eliminator"
"EU-13-116","storage","Finisher Recycle Surge Tank","","","184","MMlb/yr","CE-13-903: Step I Scrubber"
"EU-13-120","storage","Crude Azo Surge Tank","","","184","MMlb/yr","CE-13-514: Step III Scrubber"
"EU-13-121","storage","Crude Azo Charge Tank A","","","92","MMlb/yr","CE-13-514: Step III Scrubber"
"EU-13-203","process equipment","Step II Reactor A","1050","lb/hr","","","CE-13-757: Condenser, CE-13-503: Scrubber"
"EU-13-204","process equipment","Step II Reactor B","1050","lb/hr","","","CE-13-758: Condenser, CE-13-503: Scrubber"
"EU-13-422","storage","Washer Feed Tank","","","7500","gallons","CE-13-757: Condenser, CE-13-503: Scrubber"
"EU-13-483-P1","process equipment","NH Cl Recovery Process Steam Dryer","2100","lb/hr","","","CE-13-484-P1: NH Cl Recovery Cyclone, CE-13-499: NH Cl Recovery Cyclone"
"EU-13-514-1","process equipment","Step III Reactors","184","MMlb/yr","","","CE-13-514: Step III Scrubber"
"EU-13-821","storage","Crude Azo Charge Tank B","","","92","MMlb/yr","CE-13-514: Step III Scrubber"
"EU-13-854","storage","NH Cl Truck Silo","75030","lbs","","","CE-13-852: Dust Collector"
"EU-13-903","process equipment","Step I Process","184","MMlb/yr","","","CE-13-903: Step I Scrubber"
"EU-13-TK20-P1","storage","5th Bay Sump","","","","","CE-13-503: Scrubber"
"EU-13-TK29-P1","storage","CMA Surge Tank","","","","","CE-13-503: Scrubber"
"EU-13-TK40","storage","Technical Herbicide Storage Tank","","","300000","gallons","CE-13-757: Condenser, CE-13-503: Scrubber"
"EU-1734-101","boiler","Boiler #5","72.9","MMBtu/hr","","","NA"
"EU-2691-100-1","boiler","Boiler #7","123.5","MMBtu/hr","","","NA"
"EU-2691-101-1","boiler","Boiler #6","72.9","MMBtu/hr","","","NA"
"EU-3819-1-115-4","boiler","Boiler #8","147.6","MMBtu/hr","","","NA"
"EU-5-203 #1 East Diesel Pump","pump","Diesel Pump (East)","282","bhp","","","NA"
"EU-5-304 #1 West Diesel Pump","pump","Diesel Pump (West)","282","bhp","","","NA"
"EU-5-FUG-AGWT","wastewater treatment","Uncaptured Ag Wastewater Treatment Plant Emissions","","","72874","gallons","NA"
