"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"MKT-001a","spray_booth","Spray Booth Coating","","","","","CE MKT-001: 14.06"
"MKT-001b","filter","Dry Filter","","","","","CE MKT-001: 14.06"
"MKT-002","drying_oven","Drying Oven - Natural Gas 1 MMBtu/hr","1","MMBtu/hr","","",""
"MKT-003a","spray_booth","Spray Booth Coating","","","","","CE MKT-003: 15.47"
"MKT-003b","filter","Dry Filter","","","","","CE MKT-003: 15.47"
"MKT-004","drying_oven","Drying Oven - Natural Gas 1 MMBtu/hr","1","MMBtu/hr","","",""
"MKT-005a","spray_booth","Spray Booth Coating","","","","","CE MKT-005: 15.47"
"MKT-005b","filter","Dry Filter","","","","","CE MKT-005: 15.47"
"MKT-006","drying_oven","Drying Oven - Natural Gas 1 MMBtu/hr","1","MMBtu/hr","","",""
"MKT-007","cleaning_operations","Cleaning Operations - Solvent","","","","",""
"MKT-MR","mixing_room","Mixing Room - Solvents and Paints","","","","",""
