"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-BAT-001","boiler","Bath Boiler","","","","","CE BAT-001"
"EU-BAT-002","air_makeup","Air Make-Up Unit #1","5.3","MMBtu/hr","","","CE BAT-002"
"EU-BAT-003","air_makeup","Air Make-Up Unit #2","8.5","MMBtu/hr","","","CE BAT-003"
"EU-BAT-004","baghouse","Woodworking Operations (Baghouse)","3030","cabinet equivalents/week","","","CE BAT-010, CE BAT-011, CE BAT-012"
"EU-CUS-003","spray_booth","Spray Booth CUS003 (Dry Filter)","","","189.8","tons/yr","CE CUS-003"
"EU-CUS-004","spray_booth","Spray Booth CUS004 (Dry Filter)","","","189.8","tons/yr","CE CUS-004"
"EU-CUS-005","spray_booth","Spray Booth CUS005 (Dry Filter)","","","189.8","tons/yr","CE CUS-005"
"EU-CUS-006","spray_booth","Spray Booth CUS006 (Dry Filter)","","","39.4","tons/yr","CE CUS-006"
"EU-CUS-007","spray_booth","Spray Booth CUS007 (Dry Filter) and Spray Gun at 3 gal/hr","","","39.4","tons/yr","CE CUS-007"
"EU-FIN-001","boiler","Finish Mill Boiler","5.6","MMBtu/hr","","","CE FIN-001"
"EU-PAN-001","boiler","Panel Mill Boiler","27.4","MMBtu/hr","","","CE PAN-001"
"EU-PLY-001","boiler","Plywood Mill Boiler","5.0","MMBtu/hr","","","CE PLY-001"
"EU-ROU-001","boiler","Rough Mill Boiler","5.5","MMBtu/hr","","","CE ROU-001"
"EU-TIM-001","boiler","Timbergate Boiler","2.0","MMBtu/hr","","","CE TIM-001"
