"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU 01","dryer","DDGS Dryer A","","","40","MMBtu/hr","CE-C10"
"EU 02","dryer","DDGS Dryer B","","","40","MMBtu/hr","CE-C10"
"EU 03","dryer","DDGS Dryer C","","","40","MMBtu/hr","CE-C11"
"EU 04","dryer","DDGS Dryer D","","","40","MMBtu/hr","CE-C11"
"EU 06","mixer","Mixer","","","6000","lb/min",""
"EU 07","storage","Slurry Tank #1","","gallons","","",""
"EU 08","storage","Slurry Tank #2","","gallons","","",""
"EU 09","cooking","Cook Tube","","","5000","gal/hr",""
"EU 10","flash tank","Flash Tank","","","4500","gal/hr",""
"EU 11","receiver tank","Receiver Tank","","","317","gal",""
"EU 12","liquefaction tank","Liquefaction Tank #1","256800","gallons","","",""
"EU 13","liquefaction tank","Liquefaction Tank #2","","","","","CE-C10"
"EU 14","storage","Yeast Tank #1","20000","gallons","","","CE-C11"
"EU 15","storage","Yeast Tank #2","20000","gallons","","","CE-C11"
"EU 16","distillation column","Beer Column","","","837000","lb/hr","CE-C11"
"EU 17","stripping column","Side Stripper","","","102000","lb/hr","CE-C11"
"EU 18","distillation column","Rectifier Column","","","135000","lb/hr","CE-C11"
"EU 19","condenser","190 Proof Condenser","","gal/hr","52000","gal/hr",""
"EU 20-25","molecular sieves","Molecular Sieves (6 Total)","","","1250","gal/min",""
"EU 26","condenser","200 Proof Condenser","","gal/hr","13000","gal/hr",""
"EU 27-32","centrifuge","Centrifuges #1 - #6","","","2500","gal/min",""
"EU 33-40","evaporator","Evaporators #1 - #8","","","180","gal/min",""
"EU 41","boiler","Waste Heat Recovery Boiler B10","","","","","CE-C10"
"EU 42","boiler","Waste Heat Recovery Boiler B11","","","","","CE-C11"
"EU 43","receiving area","Truck Receiving Areas","","","40000","bu/hr",""
"EU 44","receiving area","Truck/Rail Receiving Areas","","","40000","bu/hr",""
"EU 45","conveyor","Grain Conveyor","","","40000","bu/hr",""
"EU 46","elevator","Grain Elevator #1","","","40000","bu/hr",""
"EU 47","silo","Grain Silo #1","500000","bushels","","","CE-C20"
"EU 48","silo","Grain Silo #2","500000","bushels","","","CE-C20"
