"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"30.1","other","Emergency Generator","5","gallons/hr","","","--"
"EU-01","drying","Extract Dryer No. 1","","","1250","lbs/hr","CEDRY.1"
"EU-02","drying","Extract Dryer No. 2","","","1250","lbs/hr","CEDRY.2"
"EU-03","storage","Sodium Chloride Silo","35000","lbs/hr","","","SS.1"
"EU-04","cooling","Cooling Tower 1","","","","","CT.1"
"EU-05","cooling","Cooling Tower 2","","","","","CT.2"
"EU-06","cooling","Cooling Tower 3","","","","","CT.3"
"EU-08","packaging","Packaging Line 1","1255","lbs/hr","","","F.1"
"EU-09","packaging","Packaging Line 2","1255","lbs/hr","","","F.2"
"EU-10","packaging","Packaging Line 3","1255","lbs/hr","","","F.3"
"EU-11","packaging","Packaging Line 4","1255","lbs/hr","","","F.4"
"EU-12","drying","Extract Dryer No. 3","1550","lbs/hr","","","CEDRY.3"
"EU-13","drying","Extract Dryer No. 4","1598","lbs/hr","","","CEDRY.4"
"EU-14","boilers","Extract Dryer 4 Burner","11600","MMBtu/hr","","","--"
"EU-20A to EU-29J","other","Autolysis Tanks A to J","","","2200","batches/12-months","--"
