"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1","storage","Gelcoat Booth & Storage Room","","","219","lb/hr; 18.75 gal/hr","CE-1"
"EU-10","storage","Dust Collection System","","","3.24","lb/hr","CE-10"
"EU-102","storage","Fiberglass Fabrication - Resins, Fiberglass Materials Catalyst","","","144.38","ton/yr",""
"EU-103","storage","Fiberglass Fabrication - Bondo Materials","","","1.72","gal/hr",""
"EU-104","storage","Welding (Welding Division)","","","19.0","lb/hr",""
"EU-105","storage","Spray Materials","","","1.72","gal/hr",""
"EU-106","storage","Mold Stripper - Mold Preparation Materials","","","1.72","gal/hr",""
"EU-108","storage","Adhesives","","","377.0","lb/ton",""
"EU-109","storage","Welding Station (Installation Division)","","","33.0","lb/hr",""
"EU-11","storage","Grind Booth","","","3.24","lb/hr","CE-11"
"EU-110","storage","Resin & Gelcoat Storage Containers (55 gal containers)","","","377.0","lb/ton",""
"EU-111","storage","Final Touchup - Catalyst, Gelcoat, Patch Aid","","","3.75","gl/hr",""
"EU-112","storage","Non-skid Tops - Catalyst, Gelcoat, Silica Sand Varies","","","377.0","lb/ton",""
"EU-12","storage","Grind Booth","","","3.24","lb/hr","CE-12"
"EU-2","storage","Fiberglass Booth 1","","","30.0","gal/hr; 266.70 lb/hr","CE-2"
"EU-3","storage","Fiberglass Booth 2","","","30.0","gal/hr; 266.70 lb/hr","CE-3"
"EU-4","storage","Final Grind Booth","","","599.2","feet/day","CE-4"
"EU-6","drying","Welding Division Paint Booth","","","19.0","lb/hr","CE-6"
"EU-7","storage","Mold Production, Resin Booth (west)","","","30.0","gal/hr","CE-7"
"EU-8","storage","Body Shop, Gelcoat Booth (east)","","","14.0","gal/hr","Dry Filter"
