"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-13A","baghouse","Baghouse for Gluten and Germ Loadout (Truck)","600","tph","","","CE-13"
"EU-15","baghouse","Baghouse for Germ Bin #8","","","","","CE-15"
"EU-20C","cyclone","Cyclone for Germ Dryer Sections 1-4","","","","","CE-20C"
"EU-27","baghouse","Baghouse for Cornstarch Bulk Storage Bin","12.5","tph","","","CE-27"
"EU-32A","afterburner","Carbon Furnace Afterburner for Carbon Furnace Burner (Natural Gas)","0.75","tph","","","CE-32A, CE-32B"
"EU-40","packed bed scrubber","Packed Bed Scrubber for Steephouse Aspiration System and Corn Tank","","","","","CE-40"
"EU-41","wet scrubber","Wet Scrubber for Germ Dryer Sections 1-4","","","","","CE-20"
"EU-52","baghouse","Baghouse for Starch Bulk Storage Bin (12.5 tph)","12.5","tph","","","CE-52"
"EU-61C","packed bed scrubber","Packed Bed Scrubber for Modification Tanks 6, 7, and 8","","","","","CE-61"
"EU-68","baghouse","Baghouse for Cracked Corn Hammermill","7.66","tph","","","CE-68"
"EU-70C","packed bed scrubber","Packed Bed Scrubber for Starch Washer 2 and Soda Ash Storage Tank","","","","","CE-70"
"EU-90","wet scrubber","Wet Scrubber for Starch Flash Dryer #4 and Non-Oxidized/Oxidized Starch","","","","","CE-90"
"EU-91","baghouse","Baghouse for Starch Storage Bin #11 (14 tph)","14","tph","","","CE-91"
"EU-92","baghouse","Baghouse for Starch Storage Bin #12 (14 tph)","14","tph","","","CE-92"
"EU-93","baghouse","Baghouse for Starch Storage Bin #13 (14 tph)","14","tph","","","CE-93"
"EU-94","baghouse","Baghouse for Industrial Starch Storage Bin #18 (7 tph) and Surge Bin (14 tph)","21","tph","","","CE-94, CE-95"
