"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"1.1","boilers","Boiler (Natural Gas)","","","","",""
"1.2","boilers","Boiler (Fuel Oil)","506.5","gal/hr","","",""
"1.3","boilers","Boiler (Vegetable Oil)","544","gal/hr","","",""
"14.1-14.3","drying","Grain Drying (Soybeans, Natural Gas, Propane)","50","tph","","",""
"37, 40, 42","handling and conveying","Class C Flour Tank (EP 37), Flour Tanks 5 & 6 (EP 40), Flour Tank 1 and 2 (EP 42)","","","","","37, 40, 42"
"45","handling and conveying","OP Tank 1 (Soybean Flour)","13.5","tph","","","45"
"5.1","cracking","South Cracking Roll","438000","tph (yr)","","","5.1"
"52","handling and conveying","Flour Mill Vacuum (Soybean Flour)","12.44","tph","","","52"
"5.2","cracking","North Cracking Roll, Scale Discharge Leg, Cracked Bean Swift Flow Bottom 1 & 2, Cracked Bean Surge Tank, Cracked Bean Swift Flow Top","","","","","5.1"
"54, 55, 56, 65-66, 74, 75-76, 83","handling and conveying","Various bins and tanks with vent filters (EPs 54, 55, 56, 65-66, 74, 75-76, 83)","","","","","54, 55, 56, 65-66, 74, 75-76, 83"
"6.1","dehulling","Main Dehulling, Vertical Seed Conditioner","","","","",""
"6.2","grinding","Hull Grinding","","","","",""
"7.1-7.3, 8.5-8.6","flaking and drying","Flakers (Flaker #1 to Flaker #7, Flaker Feed Screw, Discharge Screw, Cracked Bean Recycle Screw, Flake Drag to Extraction Tail Section), Meal Loadout, Flake Loadout","50","tph (yr)","","","7.1-7.3"
"9.1, 9.2","handling and conveying","Conveyor Unloading Tank, Weed Seed Leg, Wet Bean Leg, Dry Bean Leg, Bean Cleaner Leg, Truck Dump Pit, Elevator - Top Conveyor Aspiration, Series Tramco Conveyor Aspiration, Bean Cleaner Aspiration, Pod Grinder, Leg 301","","","","","9.1"
