"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"104.000","dryers","Fiber Flash Dryer #3 and Germ Dryer #1 & 2","92.7","tons/hr","","","CE 104.000: Fiber Flash Dryer Scrubber, CE 104.201: Germ Dryer #1 Tower Scrubber, CE 104.202: Germ Dryer #2 Tower Scrubber"
"106.062","dryers","Gluten Flash Dryer I","35","tons/hr","","","CE 106.062: Gluten Dryer I Scrubber"
"106.901","dryers","Gluten Flash Dryer II","35","tons/hr","","","CE 106.901: Gluten Dryer II Scrubber"
"25.000","other","Chemical Tank Aspiration","","","","",""
"27.000","other","Fructose Lime Addition","","","","",""
"28.000","other","Fructose Precoat Unloading/Storage","","","","",""
"33.000","other","Fructose Check Filter Aid Addition","","","","",""
"37.000","other","Carbon Furnace I","22","tons/day","","","CE 37.000: Carbon Scrubber"
"51.000","boilers","Boiler #4","","","","","CE 51: Low NOx Burner, ME 51: NOx"
"53.000","other","Corn Receiving 2","","","","",""
"56.000","other","Carbon Furnace II","22","tons/day","","","CE 56.000: Carbon Scrubber"
"8.1","other","Steeping Vessels and Steep Water Evaporation Vessels","","","10100","tons/day","CE 8.2: Steep Water Evaporation Vessels Scrubber"
"84.000","boilers","Boiler #5 and Boiler #6","","","","","CE 84: Low NOx Burner, ME 84: NOx, CE 86: Low NOx Burner, ME 86: NOx"
"85.000","other","Ethanol Fermenters and Beerwell","","","70100000","gallons/yr","CE 85RTO: Regenerative Thermal Oxidizer, CE 85: Product Recovery Scrubber"
