"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-21","drying","Drying (with Natural Gas Usage)","165","tons/hr","","","CE-21"
"EP-22","drying","Drying (with Natural Gas Usage)","93","tons/yr","","","CE-22"
"EP-23.01","boiler","Reconditioned Boiler #3 (Natural Gas)","0.1843","MMCF/hr","","","CE-23"
"EP-23.02","boiler","Reconditioned Boiler #3 (Fuel Oil)","1.25","kgal/hr","","","CE-23"
"EP-23.03","boiler","Reconditioned Boiler #3 (Vegetable Oil)","1.25","kgal/hr","","","CE-23"
"EP-23.21","boiler","Boiler #3 Heat Recovery Stack (Natural Gas)","0.1843","MMCF/hr","","","CE-23"
"EP-23.22","boiler","Boiler #3 Heat Recovery Stack (Fuel Oil)","1.25","kgal/hr","","","CE-23"
"EP-23.23","boiler","Boiler #3 Heat Recovery Stack (Vegetable Oil)","1.25","kgal/hr","","","CE-23"
"EU-1.01","conveying","Conveyance (West Clean Leg Head and Boot, West Dry Leg Head and Boot, Tempering Tank Feed Cartridge)","","","8100","bu/hr","CE-01"
"EU-1.02","conditioning","West Grain Cleaner","","","8100","bu/hr","CE-01"
"EU-13.01","flaking","Flakers (with Conveyors)","550","tons/day","","","CE-13.01"
"EU-2.01","conveying","Conveyors (Four Conveyors)","","","218750","ton/yr","CE-02"
"EU-2.02","cracking","Four Primary Crackers","","","218750","ton/yr","CE-02"
"EU-2.03","conditioning","Vertical Seed Conditioner","","","218750","ton/yr","CE-04"
"EU-4.01","grinding","Hull Grinding","","","250","tons/hr","CE-01A"
"EU-5.01","drying","Drying (with Cooling and Conveying)","1642500","tons/yr","","","CE-5.01, CE-5.02, CE-5.03, CE-5.04"
"EU-6.01","grinding","Meal Grinders (with Conveyors and Sifters)","21875","ton/hr","","","CE-06"
"EU-7.02","conditioning","Meal Sifter (with Meal Grinder)","375","tons/hr","","","CE-08"
