"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-10","other","Fugitive HAPs","","","","",""
"EU-11, EU-12 & EU-13","boilers","Process Heaters (Hot Oil #1, Hot Oil #2, FFA Process Heater)","9.6","MMBtu/hr","","",""
"EU-2","distillation","Step 7","","","","","CE-2: Scrubber"
"EU-4","packaging","Packaging","8","metric tons/day","","",""
"EU-6.1","storage","Tank Farm","","","500000","gallons/yr","CE-6.1: Distillation"
"EU-8","drying","Catalyst Dump","300","kg/batch","","","CE-8: Fabric Filter"
"EU-9.01","distillation","Step 5 Distillation","2000","metric tons/tocopherol product/year","","",""
"EU-9.02","conditioning","Step 5 Ion Exchange","2000","metric tons/tocopherol product/year","","",""
"EU-9.03","recovery","Step 5 Solvent Recovery","2000","metric tons/tocopherol product/year","","",""
"EU-9.04","expansion","Amino Methylation (~280,000 lbs tocopherols/month)","280000","lbs/tocopherol product/month","","",""
"EU-9.05","recovery","Solvent Recovery (~280,000 lbs tocopherols/month)","280000","lbs/tocopherol product/month","","",""
"EU-9.06","recovery","Step 6 Methylation Solvent Recovery (~280,000 lbs tocopherols/month)","280000","lbs/tocopherol product/month","","",""
"EU-9.07","distillation","Step 6 Distillation (~280,000 lbs tocopherols/month)","280000","lbs/tocopherol product/month","","",""
"EU-9.08","distillation","Step 8 (~280,000 lbs tocopherols/month)","280000","lbs/tocopherol product/month","","",""
"EU-9.10","distillation","Step 4","2000","metric tons/tocopherol product/year","","",""
"EU-9.11","distillation","Step 1 Distillation","2000","metric tons/tocopherol product/year","","",""
"EU-9.12","distillation","Step 2 Distillation","2000","metric tons/tocopherol product/year","","",""
"EU-9.13","distillation","Step 3 Distillation","2000","metric tons/tocopherol product/year","","",""
"EU-9.50","hydrogenation","Hydrogenation (~280,000 lbs tocopherols/month)","280000","lbs/tocopherol product/month","","",""
