"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"B1A","paint_booth","Paint Booth #1 and Cure Oven","","","","","Dry Filters"
"B1B","paint_booth","Paint Booth #1 and Cure Oven","30","gal/hr","","",""
"B2A","paint_booth","Paint Booth #2 and Cure Oven","30","gal/hr","","",""
"B2B","paint_booth","Paint Booth #2 and Cure Oven","3","MMBtu/hr","","",""
"B4A","paint_booth","Paint Booth #4 and Cure Oven","30","gal/hr","","",""
"B4B","paint_booth","Paint Booth #4 and Cure Oven","3","MMBtu/hr","","",""
"B4C","paint_booth","Paint Booth #4 and Cure Oven","","","","",""
"B5A","paint_booth","Paint Booth #5 and Cure Oven","30","gal/hr","","",""
"B5B","paint_booth","Paint Booth #5 and Cure Oven","3","MMBtu/hr","","",""
"B5C","paint_booth","Paint Booth #5 and Cure Oven","","","","",""
"FE","repair_area","Final Repair Area","11.25","gal/hr","","","Dry Filters"
"MR1","mix_room","Paint Mix Room","","","","",""
"SAE1","sanding_area","Sanding Area Exhaust","","","","",""
"SAE2","sanding_area","Sanding Area Exhaust","","","","",""
"SAE3","sanding_area","Sanding Area Exhaust","","","","",""
"SAE4","sanding_area","Sanding Area Exhaust","","","","",""
