"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"BC1","paint_booth","Basecoat Paint Booth #1 and Oven","","","","","Dry Filters"
"BC2","paint_booth","Basecoat Paint Booth #2 and Oven","","","","","Dry Filters"
"BC3","paint_booth","Basecoat Paint Booth #3 and Oven","","","","","Dry Filters"
"BC4","paint_booth","Basecoat Paint Booth #4 and Oven","","","","","Dry Filters"
"BC5","paint_booth","Basecoat Paint Booth #5 and Oven","","","","","Dry Filters"
"BC6","paint_booth","Basecoat Paint Booth #6 and Oven","","","","","Dry Filters"
"CC1","paint_booth","Clearcoat Paint Booth #1 and Oven","","","","","Dry Filters"
"CC2","paint_booth","Clearcoat Paint Booth #2 and Oven","","","","","Dry Filters"
"CC3","paint_booth","Clearcoat Paint Booth #3 and Oven","","","","","Dry Filters"
"CC4","paint_booth","Clearcoat Paint Booth #4 and Oven","","","","","Dry Filters"
"CC5","paint_booth","Clearcoat Paint Booth #5 and Oven","","","","","Dry Filters"
"CC6","paint_booth","Clearcoat Paint Booth #6 and Oven","","","","","Dry Filters"
"E1","sanding","Sanding Area #1","17","units/day","","",""
"E1, E2, E3, and E4","sanding","Sanding Area","17","units/day","","",""
"E2","sanding","Sanding Area #2","17","units/day","","",""
"E3","sanding","Sanding Area #3","17","units/day","","",""
"E4","sanding","Sanding Area #4","17","units/day","","",""
"FF1","paint_booth","Final Finish Paint Booth #1","33.6","gal/hr","","","Dry Filters"
"FF1, FF2, and FF3","paint_booth","Final Finish Paint Booths","33.6","gal/hr","","","Dry Filters"
"FF2","paint_booth","Final Finish Paint Booth #2","33.6","gal/hr","","","Dry Filters"
"FF3","paint_booth","Final Finish Paint Booth #3","33.6","gal/hr","","","Dry Filters"
"FF4","paint_booth","Final Finish Paint Booth and Oven","","","","","Dry Filters"
"FF5","paint_booth","Final Finish Paint Booth and Oven","","","","","Dry Filters"
"MR1","mixing","Paint Mix Room","100","gal/hr","","",""
"SR1","spray_room","Spray Room #1","50.4","gal/hr","","","Dry Filters"
"SR1, SR2, SR3, and SR4","spray_room","Spray Room","50.4","gal/hr","","","Dry Filters"
"SR2","spray_room","Spray Room #2","50.4","gal/hr","","","Dry Filters"
"SR3","spray_room","Spray Room #3","50.4","gal/hr","","","Dry Filters"
"SR4","spray_room","Spray Room #4","50.4","gal/hr","","","Dry Filters"
