"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU10.12","other","Emergency Standby Generator #1 (Natural Gas fired)","708","MBBtu/hr","","","CE10.9"
"EU10.18","boilers","Streeter Auxiliary Boiler – Building Heat (Natural Gas fired)","8000","MBBtu/hr","","","CE10.11"
"EU10.1A","boilers","Streeter Unit 7 Boiler (Coal fired)","","","","","CE10.1"
"EU10.1B","boilers","Streeter Unit 7 Boiler (Natural Gas fired)","","","","","CE10.2"
"EU10.20","other","Emergency Standby Generator #2 (Natural Gas fired)","1482","MBBtu/hr","","","CE10.10"
"EU10.2A","boilers","Streeter Unit 6 Boiler (Coal fired)","","","","","CE10.3"
"EU10.2B","boilers","Streeter Unit 6 Boiler (Natural Gas fired)","","","","","CE10.4"
"EU10.3A","storage","Flyash Silo (Loading)","15","tons/hr","","","CE10.3"
"EU10.3B","storage","Flyash Silo (Unloading)","15","tons/hr","","","CE10.7"
"EU10.4A","storage","Bottom Ash Silo (Loading)","18.62","tons/hr","","","CE10.4"
"EU10.4B","storage","Bottom Ash Silo (Unloading)","200","tons/hr","","","CE10.8"
