"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-001","scrubber","Carbon Scrubber","","","","","CE001-1, CE003-1"
"EU-012","dewatering","Solids Dewatering Building (Centrifuge #1, Centrifuge #2, Belt Filter Presses)","","","300.0","thp (dry)","CE012-1"
"EU-013","incineration","Sludge Incinerator (Natural Gas, Biogas)","3.0","thp (dry)","","","CE013-1, CE013-2"
"EU-014","storage","Decant Tank #1 and Decant Tank #2 (Sludge)","","","580.0","gal",""
"EU-015","boiler","Auxiliary Boiler #3 (Natural Gas, Biogas)","10.205","MMBtu/hr","","","CE015-1"
"EU-016","boiler","Auxiliary Boiler #2 (Natural Gas, Biogas)","18.844","MMBtu/hr","","","CE016-1"
"EU-017","boiler","Auxiliary Boiler #1 (Natural Gas, Biogas)","18.844","MMBtu/hr","","","CE017-1"
"EU-019","dewatering","Solids Dewatering Building (Centrifuge #1, Centrifuge #2, Belt Filter Presses)","","","300.0","thp (dry)","CE019-1"
"EU-036","generator","MCC1 Standby Generator (Main Lift) - Natural Gas and Biogas","14580","cf/hr","","","CE-036-1"
"EU-037","generator","Standby Generator (Solids Dewatering) - Natural Gas and Biogas","14580","cf/hr","","","CE-037-1"
"EU-042","generator","Standby Generator – North (Natural Gas)","14580.0","cf/hr","","","CE042-1"
"EU-043","generator","Standby Generator – South (Natural Gas)","14580.0","cf/hr","","","CE043-1"
"EU-045","storage","Magnesium Bisulfite Tank (North, South)","5875.0","gal","564000.0","gal/yr",""
"EU-046","storage","Chlorine Building - Chlorine Cylinder Storage and Dry Scrubber","2","tons/cylinder","","","CE-046-1"
"EU-050","odor_control","Odor Control (Roughing Filters, Primary Clarifiers, DAF Thickeners, Gravity Belt Thickener #1)","","","80875.0","lb-BOD/day","CE050-1, CE051-1, CE052-1"
"EU-051","dewatering","Primary Clarifier A-1, A-2, A-3 (Dewatering)","","","72000.0","gal/day-ft",""
"EU-052","flare","Excess Biogas Flare (North and South)","","","1184.0","cfm","CE-53-1"
"EU-053","flare","Excess Biogas Flare (North, South)","1184.0","cfm","","","CE053-1"
"EU-054","flare","Excess Biogas Flare - Wet Scrubber","1184","cfm","","","CE-053-1"
"EU-0951","generator","Emergency Diesel Generator - 385 hp","385","hp","","",""
"EU-951","generator","Emergency Generator (Diesel)","385.0","hp","","",""
