"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-1","boilers","Combustion Turbine #1","","","","",""
"EU-11","boilers","Combustion Turbine #2 Diesel Starting Engine (Dual Stack with EU-9)","635","hp","","",""
"EU-12","other","Emergency Engine (Exempt)","225","hp","","",""
"EU-15","boilers","Non-emergency Natural Gas-fired Engine (Exempt)","18817","kW","","",""
"EU-16","boilers","Non-emergency Natural Gas-fired Engine (Exempt)","18817","kW","","",""
"EU-17","boilers","Non-emergency Natural Gas-fired Engine (Exempt)","18817","kW","","",""
"EU-18","other","Emergency Engine (Exempt)","689","hp","","",""
"EU-2","boilers","Combustion Turbine #2","","","","",""
"EU-9","boilers","Combustion Turbine #1 Diesel Starting Engine (Dual Stack with EU-11)","800","hp","","",""
"IEU4","other","Gasoline Storage Tank (Exempt)","1500","gallons","","",""
