"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU 4303","storage","Covered Gypsum Rock Pile","","","","",""
"EU 4314","drying","Scalping Screen","","","","",""
"EU 4401","drying","North Raymond Mill Crushing & Flash Drying","20","tons/hr","","","CE 004, CE 007"
"EU 4402","drying","South Raymond Mill Crushing & Flash Drying","20","tons/hr","","","CE 001, CE 007"
"EU 4403","storage","Landplaster Storage Bin A","80","tons/hr","","","CE 003"
"EU 4404","storage","Landplaster Storage Bin B","80","tons/hr","","","CE 003"
"EU 4405","storage","Landplaster Storage Bin C","80","tons/hr","","","CE 003"
"EU 4501","drying","Calcining Kettle A w/ Hot Pit","20","tons/hr","","","CE 004, CE 007"
"EU 4502","drying","Calcining Kettle B w/ Hot Pit","20","tons/hr","","","CE 005, CE 007"
"EU 4503","drying","Calcining Kettle C w/ Hot Pit","20","tons/hr","","","CE 006, CE 007"
"EU 4507","transportation","West Hot Pit Screw Conveyor","60","tons/hr","","",""
"EU 4508","transportation","East Hot Pit Screw Conveyor","60","tons/hr","","",""
"EU 4509","transportation","West Hot Pit Elevator","60","tons/hr","","",""
"EU 4510","transportation","East Hot Pit Elevator","60","tons/hr","","",""
"EU 4513","storage","Stucco Surge Tank No. 1","60","tons/hr","","",""
"EU 4514","storage","Stucco Surge Tank No. 2","60","tons/hr","","",""
"EU 5001","storage","West Stucco Bin","60","tons/hr","","","CE 009"
"EU 5002","storage","Middle Stucco Bin","60","tons/hr","","","CE 010"
"EU 5003","storage","East Stucco Bin","60","tons/hr","","","CE 011"
"EU 5017","transportation","Screw Conveyor","16.67","tons/hr","","","CE 008"
"EU 5019","storage","Vermiculite Storage Bin","11.1","tons/hr","","",""
"EU 5020","storage","Starch Storage Bin","12.5","tons/hr","","",""
"EU 5029","drying","Four Zone Wallboard Dryer","103.3","MMBtu/hr","","","CE 025"
"EU C 4000","receiving","Land Stripping","","","","",""
"EU C 4002","receiving","Blasting Holes Drilling on Gypsum Rock","","","","",""
"EU C 4003","storage","Open Gypsum Rock Pile","","","","",""
"EU C 4004","transportation","Gypsum Rock Truck Hauling","","","","",""
"EU C 6037","receiving","Portable Reclaim Screen","100","tons/hr","","",""
