"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-01N","boiler","Industrial Boiler B","","","","","CE-23, CE-23A, CE-23B"
"EU-02","boiler","Industrial Boiler A","","","","","CE-400A, CE-400B, CE-400C"
"EU-04","reforming","Primary Reformer","133.33","tons/hr","","","CE-205, CE-206A, CE-207"
"EU-04A","boiler","Auxiliary Boiler","","","","","CE-205, CE-401A, CE-401B, CE-401C"
"EU-05","reforming","Carbon Dioxide Regenerator","","","","","CE-206A, CE-207"
"EU-07","acid plant","Nitric Acid Plant #1","133.33","tons/hr","","","CE-206A, CE-207"
"EU-08","evaporation","Ammonium Nitrate Neutralizer and UAN Evaporator","","","","","CE-206A, CE-207"
"EU-20","evaporation","Pre-shift Wastewater Evaporator","55667","lb/hr","","","CE-206A, CE-207"
"EU-200","reforming","Primary Reformer","133.33","tons/hr","","","CE-200"
"EU-200A","flare","Syngas Flare Pilot Burner (Total for 4 natural gas pilots)","","","","","CE-206A, CE-207"
"EU-205","heating","Startup Heater","58.8","MMBTU/hr","","","CE-205"
"EU-206A","flare","Syngas Flare Pilot Burner","5.03","MMBTU/hr","","","CE-206A, CE-206B"
"EU-207A","flare","Ammonia Flare Pilot Burner","14.3","MMscf/hr","","","CE-207A, CE-207B"
"EU-208","flare","Ammonia Storage Tank Flare","20643","lb/hr","","","CE-208A, CE-208B"
"EU-208A","flare","Ammonia Storage Tank Flare","20643","lb/hr","","","CE-208A, CE-208B"
"EU-20A","evaporation","Pre-Methanator Wastewater Evaporator","55.667","lb/hr","","","CE-210A"
"EU-21","heating","Ammonia Synthesis Start-up Heater","58.8","MMBTU/hr","","","CE-206A, CE-207"
"EU-23","evaporation","Wastewater Evaporator","55667","lb/hr","","","CE-23, CE-23A, CE-23B"
"EU-24","flare","Ammonia Flare Pilot Burner","","","","","CE-206A, CE-207"
"EU-24A","flare","Ammonia Flare","","","","","CE-206A, CE-207"
"EU-25","acid plant","Nitric Acid Plant #2","133.33","tons/hr","","","CE-206A, CE-207"
"EU-27","flare","Pilot Burner for Ammonia Flare","","","","","CE-206A, CE-207"
"EU-27A","flare","Ammonia Flare","","","","","CE-206A, CE-207"
"EU-29","other","Haul Road Grandfathered","","","","","CE-29"
"EU-29A","other","North Plant Main Road","","","","","CE-29A"
"EU-29B","other","Connector Road","","","","","CE-29B"
"EU-29C","other","Inner Plant Road","","","","","CE-29C"
"EU-300","granulation","Urea Granulation Process","192.5","tons/hr","","","CE-300, CE-300a"
"EU-300A","granulation","Urea Granulation Process","192.5","tons/hr","","","CE-300, CE-300A"
"EU-400","boiler","Boiler A","54.6","MMBTU/hr","","","CE-400A, CE-400B, CE-400C"
"EU-401","boiler","Boiler B","54.6","MMBTU/hr","","","CE-401A, CE-401B, CE-401C"
"EU-402A","cooling tower","Urea Cooling Tower #1","","","","","CE-402A, CE-402B"
"EU-402B","cooling tower","Ammonia Cooling Tower #1","","","","","CE-402A, CE-402B"
"EU-403","generator","Emergency Generator 1","3634","bhp","","","CE-403"
"EU-404","generator","Emergency Generator 2","3634","bhp","","","CE-404"
"EU-405","storage","Diesel Belly Tank 1","","","","","CE-405"
"EU-406","storage","Diesel Belly Tank 2","","","","","CE-406"
"EU-407","storage","Hydrated Lime Silo","","","","","CE-407"
"EU-408","storage","Soda Ash Silo","","","","","CE-408"
"EU-409","generator","North Admin Building Emergency Generator","70","bhp","","","CE-409"
"EU-410","pump","Fire Pump #1","470.4","bhp","","","CE-410"
"EU-411","pump","Fire Pump #2","471.8","bhp","","","CE-411"
"EU-650","compressor","Caterpillar C15 Air Compressor Engine","37.2","MMBTU/hr","","","CE-650"
"EU-651","generator","Generac SD080 Generator Diesel Engine Exempt","32.4","MMBTU/hr","","","CE-651"
"EU-652","generator","Generac SD150 Generator Diesel Engine Exempt","48.6","MMBTU/hr","","","CE-652"
"EU-653","pump","Caterpillar Fire Water Pump B Diesel Engine Exempt","48.6","MMBTU/hr","","","CE-653"
"EU-654","pump","Caterpillar Fire Water Pump A Diesel Engine Exempt","48.6","MMBTU/hr","","","CE-654"
