"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP1 R13","storage","Sulfuric Acid Tank/Car Load/Unload West","","","228","tons/hr","CD1: Baghouse"
"EP2 R14","storage","Sulfuric Acid Tank/Car Load/Unload North","","","45.9","tons/hr","CD2: Baghouse"
"EP6 T1","storage","Sulfuric Acid Storage Tank North","","","","","CD3: Baghouse"
"EP7 T2","storage","Sulfuric Acid Storage Tank South","","","","","CD4: Baghouse"
"ST10 E7","drying","AHM/ADM Dryer","1.1","tons/hr","","","CD4: Baghouse"
"ST11 E8","drying","Sodium Molybdate Drying, Screening & Packaging","0.3","tons/hr","","","CD5: Baghouse"
"ST18 R8","receiving","Lime Dust Unload","5","tons/hr","","","CD11: Baghouse"
"ST19 R9","receiving","Lime Transfer to Silo","20","tons/hr","","","CD12: Baghouse"
"ST1 B1","boilers","Boiler #1","34.5","MMBtu/hr","","","CD2: Baghouse"
"ST20 R10","drying","Roaster #1 MoS 17.08 tons/hr","17.08","tons/hr","","","CD13: Sulfuric Acid Plant, Natural Gas 19.124 MMBtu/hr"
"ST21 R11","roasting","Roaster #2 MoS","17.08","tons/hr","","","CD17: Sulfuric Acid Plant, R16 Roaster #2 Burner"
"ST21 R15","other","Roaster #1 Burner (Emergency Bypass)","","","","","Natural Gas 19.124 MMBtu/hr"
"ST21 R16","roasting","Roaster #2 MoS 17.08 tons/hr (Emergency Bypass)","17.08","tons/hr","","","CD13: Sulfuric Acid Plant, R16 Roaster #2 Burner"
"ST23 W2","furnace","Sublimed Oxide Furnace #1","","","","","CD18: Baghouse"
"ST24 W8","furnace","Sublimed Oxide Furnace #2","","","","","CD19: Baghouse"
"ST25 W3","drying","Molysulfide Kiln MoS 0.82 tons/hr","0.82","tons/hr","","","Afterburner"
"ST2 B2","boilers","Boiler #2","34.5","MMBtu/hr","","","CD3: Baghouse"
"ST3 B3","other","Fire Pump Diesel Engine","13.2","gal/hr","","","CD4: Baghouse"
"ST56 GEN9","other","Generator #9 138 gal/hr #2 Diesel Fuel Oil (2937 bhp)","138","gal/hr","","","CD4: Baghouse"
"ST57 GEN8","other","Generator #8 138 gal/hr #2 Diesel Fuel Oil (2937 bhp)","138","gal/hr","","","CD4: Baghouse"
"ST58 GEN7","other","Generator #7 138 gal/hr #2 Diesel Fuel Oil (2937 bhp)","138","gal/hr","","","CD4: Baghouse"
"ST59 GEN6","other","Generator #6 138 gal/hr #2 Diesel Fuel Oil (2937 bhp)","138","gal/hr","","","CD4: Baghouse"
"ST6 E1","receiving","MoO Unload to Storage Bin From Bags and Barrels","12.5","tons/hr","","","CD1: Baghouse"
"ST7 E2","packaging","Pure Oxide Product Screening & Packaging","1.05","tons/hr","","","CD2: Baghouse"
"ST8 E3","drying","ADM/PO Calciner #1","91750","lbs/day","","","CD3: Baghouse, Natural Gas 4.332 MMBtu/hr"
"ST9 E5","drying","Downgrade Calciner #1 & Product Bagger","0.2","tons/hr","","","CD21: Baghouse"
