"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP1 R13","rail loading","Rail Loading of Sulfuric Acid","","","","",""
"EP2 R14","truck loading","Truck Loading of Sulfuric Acid","","","","",""
"EP3 R2A","rail unloading","MoS Fugitive Rail Unloading","","","","",""
"EP4 R3","thawing","Rail Car Thawing","3.28","MMBtu/hr","","",""
"EP6 T1","storage tank","Sulfuric Acid Storage Tank North","325000","gallons","","",""
"EP7 T2","storage tank","Sulfuric Acid Storage Tank South","325000","gallons","","",""
"ST11 E8 & E9","drying and packaging","NaMo/ADM/AOM Drying, Screening, Packaging","600","lbs/hr","1900","tons/yr","CD5: Baghouse"
"ST1 B1","boiler","Natural Gas Boiler #1 (34.5 MMBtu/hr)","34.5","MMBtu/hr","","","99-A-833-S1, 99-A-834-S1"
"ST20 R10 & R11","roasting","Roaster #1 and Roaster #2 with Burners","5000","lbs/hr","","","R15: Roaster #1 Burner, R16: Roaster #2 Burner"
"ST20, R10 Roaster #1 & R11 Roaster #2 (5,000 lb/hr of MoS)","roasting","Roasters with Burners (Natural Gas 19.124 MMBtu/hr each)","5000","lb/hr","","","95-A-273-S3"
"ST23 W3 & W4","kilning and afterburning","Molysulfide Kiln and Afterburner","","","820","lbs/hr","W4: Afterburner"
"ST25 W3 & W4 Afterburner (Natural Gas 3.1 MMBtu/hr)","kiln and afterburning","Molysulfide Kiln with Afterburner","0.82","tons/hr","","","94-A-001-S3"
"ST2 B2","boiler","Natural Gas Boiler #2 (34.5 MMBtu/hr)","34.5","MMBtu/hr","","","99-A-833-S1, 99-A-834-S1"
"ST3 B3","pump engine","Fire Pump Diesel Engine (200 hp, existing)","13.2","gal/hr","","","99-A-835-S1"
"ST56 GEN9 Generator #9 (138 gal/hr, 2937 bhp)","generator","Generator #9","138","gal/hr","","","11-A-097"
"ST56 GEN9 & ST57 GEN8 & ST58 GEN7 & ST59 GEN6","generator","Generators #9, #8, #7, and #6","138","gal/hr","","",""
"ST57 GEN8 Generator #8 (138 gal/hr, 2937 bhp)","generator","Generator #8","138","gal/hr","","","11-A-098"
"ST58 GEN7 Generator #7 (138 gal/hr, 2937 bhp)","generator","Generator #7","138","gal/hr","","","11-A-099"
"ST59 GEN6 Generator #6 (138 gal/hr, 2937 bhp)","generator","Generator #6","138","gal/hr","","","11-A-100"
"ST7 E2","packaging","Pure Oxide Product Screening & Packaging","600","lbs/hr","1900","tons/rolling 12-month period",""
"ST8 74-A-017-S10","calcination and scrubbing","ADM/PO Calciner #1 with Ammonia Scrubber","","","80880","lb/day","CD42: Ammonia Scrubber"
