"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-013, EU-013A & EU-013B","shot blasting equipment","Brass Shotblasting and Cutoff","9.8","tons/hr","","","CE-013"
"EP-024, EU-024A, EU-024B, & EU-024D","industrial furnace","Brass Sand System (Muller, Shakeout, Didion)","70","tons/hr","","","CE-024"
"EP-031 & EP-039, EU-031 & EU-039","core making equipment","Laempe Core Making (Two Systems)","5.5","tons/hr","","","None"
"EP-032, EU-032A, EU-032B, & EU-032C","industrial furnace","Electric Induction Furnaces (Furnace A, B, C, D)","15.4","tons/hr","","","CE-032"
"EP-036, EU-036","grinding equipment","Brass Grinding (Three Stations)","4","tons/hr","","","CE-036"
"EP-038, EU-038 & EU-038 (VOC)","core making equipment","Sinto Core Machine","2.7","tons/hr","","","None"
"EU-008A","shot blasting equipment","Iron Shotblasting","6000","lb/hr","","","CE-010"
"EU-008B","shot blasting equipment","Iron Shotblasting","6000","lb/hr","","","CE-010"
"EU-010","grinding equipment","Grinding Stations","13.5","tons/hr","","","CE-010"
"EU-010B","welding equipment","Touch-Up Wire Welding","17.8","m/min","","","CE-010"
"EU-013C","shot blasting equipment","Shotblast (Robotic Brass Cutoff Saw)","9.8","tons/hr","","","CE-013"
"EU-022A","industrial furnace","Mold Pouring and Cooling (Iron)","12.0","tons/hr","","","CE-022A"
"EU-022A, EU-022B, EU-022C, & EP-022B-F","industrial furnace","Mold Pouring and Cooling (Iron)","12","tons/hr","","","CE-022"
"EU-022A, EU-022B, EU-022C & EU-022B-F","industrial furnace","Mold Pouring and Cooling (Iron)","12","tons/hr","","","CE-022"
"EU-022B","industrial furnace","Mold Pouring and Cooling (Iron)","12.0","tons/hr","","","CE-022B"
"EU-022C","industrial furnace","Mold Pouring and Cooling (Iron)","12.0","tons/hr","","","CE-022C"
"EU-024A","sand handling equipment","Brass Sand Muller","70","tons/hr","","","CE-024"
"EU-024A, EU-024B, EU-024D & EU-024E","industrial furnace","Brass Sand Muller, Side Floor Shakeout, Didion and Return Sand Conveyor","70","tons/hr","","","CE-024"
"EU-024B","shakeout equipment","Side Floor Shakeout","70","tons/hr","","","CE-024"
"EU-031 & EU-039","core making equipment","Laempe Core Making (Handled Sand)","5","tons/hr (total)","","","N/A"
"EU-032A, EU-032B, EU-032C & EU-032D","industrial furnace","Electric Induction Furnaces A to D","14.7","tons/hr (total)","","","CE-032"
"EU-036","grinding equipment","Brass Grinding (three stations)","4.0","tons/hr","","","CE-036"
"EU-037","industrial furnace","Holding Furnaces and Ductile Treatment","96.5","tons/hr","","","CE-037"
"EU-037, EU-023 East Holding Furnace (EP-037)","industrial furnace","Holding Furnaces and Ductile Treatment","96.5","tons/hr","","","CE-037"
"EU-038","core making equipment","Sinto Core Machine (Handled Sand)","2.7","tons/hr","","",""
"EU-038 & EU-038 (VOC)","core making equipment","Sinto Core Machine and Sinto Core Machine (VOC)","2.7","tons/hr","","","N/A"
"EU-039","core making equipment","Laempe Core Making (Sand)","5.5","tons/hr","","",""
"EU-042","industrial furnace","Induction Melting Furnace","","","6000","kW","CE-002"
"EU-043","industrial furnace","Induction Melting Furnace","","","6000","kW","CE-002"
"EU-046A","industrial furnace","Return Sand Tunnel and Transfer Belt (additional pickups)","140","tons/hr","","","CE-046"
"EU-046A & EU-046B","industrial furnace","Return Sand Tunnel and Transfer Belt (additional pickups)","140","tons/hr","","","CE-046"
"EU-046A, EU-046B, & EU-046C","industrial furnace","Return Sand Tunnel and Transfer Belt (EP-046)","140","tons/hr","","","CE-046"
"EU-HMT","industrial furnace","Hot Melt Transfer","9.6","tons/hr","","","CE-037"
