"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP-004","paint_booth","Hydrant Paint Booth","","","","","CE-004"
"EP-005","paint_booth","Large Valve Paint Booth","","","15000","gal/yr","CE-005"
"EP-006","oven","Fuse Coat I Dry-Off/Preheat Oven","8.0","MMBtu/hr","","","CE-006"
"EP-007","oven","Fuse Coat I Cure Oven","5.0","MMBtu/hr","","","CE-007"
"EP-008","wash_rinse","Alkaline Wash","18.9","gal/hr","","","CE-008"
"EP-009","wash_rinse","Clean Water Rinse","9.3","gal/hr","","","CE-009"
"EP-013","other","Fuse Coat II Booth","33","lb/hr","","","CE-013"
"EP-014","other","Fuse Coat I Booth","38","lb/hr","","","CE-014"
"EP-015","other","Fuse Coat III Booth","62.5","lb/hr","","","CE-015"
"EP-018","oven","Fuse Coat III Oven","3.0","MMBtu/hr","","","CE-018"
"EP-020","wash_rinse","Alkaline Wash Fuse Coat II","18.9","gal/hr","","","CE-020"
"EP-022","oven","Preheat Dryoff Fuse Coat II","2.0","MMBtu/hr","","","CE-022"
"EP-023","oven","Fuse Coat II Cure Oven","2.15","MMBtu/hr","","","CE-023"
"EP-024","wash_rinse","Alkaline Wash Fuse Coat III","18.9","gal/hr","","","CE-024"
"EP-026","oven","Preheat Dryoff Fuse Coat III","4.0","MMBtu/hr","","","CE-026"
"EP-038","oven","Fuse Coat IV Cure Oven","3.22","MMBtu/hr","","","CE-038"
"EP-GEN4","other","Computer Back-Up Generator (Natural Gas, 47 hp)","47","hp","","","CE-GEN4"
"EU-004","paint_booth","Hydrant Paint Booth","","","","","CE-004"
"EU-005","paint_booth","Large Valve Paint Booth","","","15000","gal/yr","CE-005"
"EU-006","oven","Fuse Coat I Dry-Off/Preheat Oven","8.0","MMBtu/hr","","","CE-006"
"EU-007","oven","Fuse Coat I Cure Oven","5.0","MMBtu/hr","","","CE-007"
"EU-013","other","Fuse Coat II Booth","33","lb/hr","","","CE-013"
"EU-014","other","Fuse Coat I Booth","38","lb/hr","","","CE-014"
"EU-015","other","Fuse Coat III Booth","62.5","lb/hr","","","CE-015"
"EU-018","oven","Fuse Coat III Oven","3.0","MMBtu/hr","","","CE-018"
"EU-022","oven","Preheat Dryoff Fuse Coat II","2.0","MMBtu/hr","","","CE-022"
"EU-023","oven","Fuse Coat II Cure Oven","2.15","MMBtu/hr","","","CE-023"
"EU-026","oven","Preheat Dryoff Fuse Coat III","4.0","MMBtu/hr","","","CE-026"
"EU-030","other","Fluid Clean System","12.7","lb/hr","","","CE-030-A, CE-030-B, CE-030-C, CE-030-D"
"EU-038","oven","Fuse Coat IV Cure Oven","3.22","MMBtu/hr","","","CE-038"
"EU-GEN4","other","Computer Back-Up Generator (Natural Gas, 47 hp)","47","hp","","","CE-GEN4"
