"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-004","paint_booth","Hydrant Paint Booth","","","12.2","gal/hr","CE-004"
"EU-005","paint_booth","Large Valve Paint Booth","","","12.2","gal/hr","CE-005"
"EU-013","paint_booth","Fuse Coat II Booth","","","","",""
"EU-015","paint_booth","Fuse Coat III Booth","","","","",""
"EU-018","oven","Fuse Coat III Oven","3.0","MMBtu/hr","","",""
"EU-020","tank","Alkaline Wash Fuse Coat II Solution Tank","","","18.9","gal/hr",""
"EU-022","oven","Preheat Dryoff Fuse Coat II Oven","2.0","MMBtu/hr","","",""
"EU-023","oven","Fuse Coat II Cure Oven","2.15","MMBtu/hr","","",""
"EU-024","tank","Alkaline Wash Fuse Coat III Solution Tank","","","18.9","gal/hr",""
"EU-026","oven","Preheat Dryoff Fuse Coat III Oven","4.0","MMBtu/hr","","",""
"EU-030","cleaning_system","Fluid Clean System","12.7","lbs/hr","","","CE-030-A, CE-030-B, CE-030-C, CE-030-D"
"EU-034","tank","Alkaline Wash Fuse Coat IV Solution Tank","","","1640","gal",""
"EU-036","oven","Preheat Dryoff Fuse Coat IV Oven","5.38","MMBtu/hr","","",""
"EU-037","paint_booth","Fuse Coat IV Booth","","","","",""
"EU-038","oven","Fuse Coat IV Cure Oven","3.22","MMBtu/hr","","",""
"EU-040","dryer","Rotary Boring Dryer","40","ft3/hr","","","CE-040A, CE-040B, CE-040C"
"EU-MSGEN","generator","Computer Back-Up Generator (Natural Gas, 54 hp)","54","hp","","",""
