"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP 166 & EP 167","test engine","Test Engine #1 and Test Engine #2, Diesel Fuel, 82 kW/hr (110 bhp/hr)","","","","","CE N/A"
"EP 171","touch-up painting","Hand-Held Powder Coat Touch-Up, 1.9 lb/hr","1550","lb/yr","","",""
"EU 102","storage tank","Assembly Line Hydraulic Oil Tank #1, 01-A-1299","10000","gallons","","","CE 01-A-1299"
"EU 103","storage tank","Assembly Line Hydraulic Oil Tank #2, 01-A-1300","10000","gallons","","","CE 01-A-1300"
"EU 104","storage tank","Assembly Line Transmission Fluid Tank #1, 01-A-1301","8000","gallons","","","CE 01-A-1301"
"EU 105","storage tank","Assembly Line Transmission Fluid Tank #2, 01-A-1302","8000","gallons","","","CE 01-A-1302"
"EU 106","storage tank","Assembly Line Antifreeze Tank, 01-A-1303","8000","gallons","","","CE 01-A-1303"
"EU 107","storage tank","Assembly Line Engine Oil Tank, 01-A-1304","8000","gallons","","","CE 01-A-1304"
"EU 109","storage tank","Crawler Line Hydraulic Oil Tank, 01-A-1305","6000","gallons","","","CE 01-A-1305"
"EU 118","storage tank","E-Coat Resin Tank, 6000 gallon","6000","gallons","","","CE 11-A-353"
"EU 119","storage tank","E-Coat Holding Tank, Exempt","","","","","CE 11-A-354"
"EU 120","storage tank","E-Coat Holding Tank, Exempt","","","","","CE 11-A-354"
"EU 121","storage tank","Oily Rinse Water Holding Tank, 01-A-1306","","","","","CE 01-A-1306"
"EU 122","storage tank","Reject Wastewater Batch Holding Tank, 01-A-1307","","","","","CE 01-A-1307"
"EU 123","storage tank","Alkaline Cleaner Wastewater Holding Tank, 01-A-1308","","","","","CE 01-A-1308"
"EU 124","storage tank","Used Coolant Wastewater Holding Tank, 01-A-1309","","","","","CE 01-A-1309"
"EU 125","wastewater treatment system","Wastewater Treatment System, Exempt","","","","","CE 01-A-1310"
"EU 133","wastewater treatment system","E-Coat Washer, Exempt","","","","","CE 01-A-1311"
"EU 137","mixing area","Paint Mix Room, Exempt","","","","","CE 01-A-1312"
"EU 137B","mixing area","Family Line Paint Kitchen, 03-A-166","","","","","CE 03-A-166"
"EU 146","preparation area","Prep Area, 03-A-167","","","","","CE 03-A-167"
"EU 150","boilers","Powder Coat Water Wash Boiler, 11-A-353","2700","MBtu/hr","","","CE 11-A-353"
"EU 151","pretreatment wash system","Powder Coat Pretreatment Wash System, 11-A-354","","","","","CE 11-A-354"
"EU 152","baking","Powder Coat Bake Oven, 11-A-355","1600","MBtu/hr","","","CE 11-A-355"
"EU 153","spray booth","Powder Coat Spray Booths, 11-A-356","","","","","CE 11-A-356"
"EU 154","baking","Powder Coat Cure Oven, 11-A-357","2900","MBtu/hr","","","CE 11-A-357"
"EU 155a & EU 155b","spray booth","Dozer Paint Spray Booth and Dozer Paint Spray Booth AMU, 15-A-355-S1 and 15-A-356-S1","","","","","CE 15-A-355-S1, CE 15-A-356-S1"
"EU 156","cure oven","Dozer Cure Oven #1, 19-A-020-S1","","","","","CE 19-A-020-S1"
"EU 157","cure oven","Dozer Cure Oven #2, 19-A-020-S1","","","","","CE 19-A-020-S1"
"EU 168","generator","100 kW Kohler Emergency Generator, 01-A-1309","158","bhp/hr","","",""
"EU 171","touch-up booth","Hand-Held Powder Coat Touch-Up, 20-A-004-S1","","","","","CE 20-A-004-S1"
"EU 23A","paint booth","Family Line Basecoat Booth, 94-A-366-P5","","","","","CE 01-A-1050-P3"
"EU 23B","paint booth","Family Line Basecoat Booth AMU, 94-A-366-P5","","","","","CE 01-A-1050-P3"
"EU 26","oven","Family Line Bake Oven, 94-A-369-P4","","","","","CE 01-A-1052-P2, CE 01-A-1053-P2"
"EU 27","touch-up booth","Family Line Touch-Up Booth, 94-A-370-P5","","","","","CE 01-A-1306"
"EU 28","oven","Family Line Burn-Off Oven #1, 94-A-371-P3","","","","","CE 01-A-1306"
"EU 29","oven","Family Line Burn-Off Oven #2, 94-A-372-P3","","","","","CE 01-A-1306"
"EU 4","boilers","Boiler #4","","","","","CE 07-A-1361"
"EU W1 through EU W134","welding","Welding Area (Structure Numbers: 4, 50, 51 and 52); 134 Welders","","","","","CE 14-A-004-S1, CE 14-A-005-S1, CE 14-A-006-S1, CE 14-A-007-S1, CE 14-A-008-S1, CE 14-A-009-S1, CE 14-A-010-S1, CE 14-A-011-S1, CE 14-A-012-S1, CE 14-A-013-S1, CE 14-A-014-S1, CE 14-A-015-S1, CE 14-A-016-S1, CE 14-A-017-S1"
