"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EF-222","other","Cleaning Tower Building","","","","",""
"EF-223","other","Cleaning Tower Building","","","","",""
"EP-1","boiler","Steam Boiler #1","51.5","MMBtu/hr","","",""
"EP-10","storage","Bulk Sugar Storage Unit","","","","",""
"EP-11","receiving","Raw Seed Receiving and Cleaning","2250","bu/hr","800","bu/hr","CE-11"
"EP-12","conditioning","Pumpkin Seed Cleaning","500","bu/hr","800","bu/hr","CE-12"
"EP-13","conditioning","Post Roast Cleaning","500","bu/hr","800","bu/hr","CE-13"
"EP-15","packaging","Seed Packaging","680","bu/hr","800","bu/hr","CE-15"
"EP-16","drying","Seed Roaster #1","350","bu/hr","","","CE-16"
"EP-17","drying","Seed Roaster #2","350","bu/hr","","","CE-17"
"EP-18","drying","Seed Roaster #3","350","bu/hr","","","CE-18"
"EP-2","boiler","Steam Boiler #2","51.5","MMBtu/hr","","",""
"EP-5","storage","Fuel Oil Storage Tank","","","","",""
"EP-6","storage","Vegetable Oil Storage Tank","","","","",""
"EP-7","storage","Bulk Starch Storage Tank Unit T100","3000","cubic feet","","",""
"EP-8","storage","Bulk Starch Storage Tank Unit T200","3000","cubic feet","","","CE-8"
"EP-9","storage","Bulk Starch Storage Unit T300","3000","cubic feet","","","CE-9"
"EU-10","storage","Bulk Sugar Storage Unit","","","","",""
"EU-106","other","Fugitive Flavor Dispensing","","","","",""
"EU-11","receiving","Raw Seed Receiving and Cleaning","2250","bu/hr","800","bu/hr","CE-11"
"EU-12","conditioning","Pumpkin Seed Cleaning","500","bu/hr","800","bu/hr","CE-12"
"EU-13","conditioning","Post Roast Cleaning","500","bu/hr","800","bu/hr","CE-13"
"EU-15","packaging","Seed Packaging","680","bu/hr","800","bu/hr","CE-15"
"EU-16","drying","Seed Roaster #1","350","bu/hr","","","CE-16"
"EU-17","drying","Seed Roaster #2","350","bu/hr","","","CE-17"
"EU-18","drying","Seed Roaster #3","350","bu/hr","","","CE-18"
"EU-5","storage","Fuel Oil Storage Tank","","","","",""
"EU-6","storage","Vegetable Oil Storage Tank","","","","",""
"EU-7","storage","Bulk Starch Storage Tank Unit T100","3000","cubic feet","","",""
"EU-8","storage","Bulk Starch Storage Tank Unit T200","3000","cubic feet","","","CE-8"
"EU-9","storage","Bulk Starch Storage Unit T300","3000","cubic feet","","","CE-9"
