"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"1","paint_booth","Paint Booth, Bay 4","","","15","gallons/hour","CE-1"
"10","generator","Kohler Model 80ROZJ Diesel Fired Emergency Generator, 40 kW","40","kW","","","CE-10"
"12","welding","Production Welding","3412","lbs/hr","","","N/A"
"15","paint_booth","Down Draft Paint Booth, Bay 11","","","15","gallons/hour","CE-11"
"2","paint_booth","Paint Booth, Bay 5","","","15","gallons/hour","CE-2"
"20","generator","Caterpillar Model C9 Emergency Diesel Generator, 250 kW","250","kW","","","CE-20"
"21, 22, 23, 24, 25, 26","cutting","Various Laser and Plasma Cutters (Bystronic Fiber, Bystronic CO2, Alltra Plasma, Bystronic Tube)","","","","","CE-21, CE-22, CE-23, CE-24, CE-25, CE-26"
"21, 22, 23, 24, 25, and 26","cutting","Various Laser Cutters and Plasma Cutters","","","","","CE-21, CE-22, CE-23, CE-24, CE-25, CE-26"
"4","paint_booth","Bay 4 Overhead Paint Booth with Dry Filters","","","5.625","gallons/hour","CE-8"
"8","paint_booth","Bay 4 Overhead Paint Booth with Dry Filters (Down Draft)","","","5.625","gallons/hour","CE-8"
"9","paint_booth","Bay 5 Overhead Paint Booth with Dry Filters (Down Draft)","","","5.625","gallons/hour","CE-9"
"EU-001","paint_booth","Paint Booth, Bay 4","","","15","gallons/hour","CE-001"
"EU-002","paint_booth","Paint Booth, Bay 5","","","15","gallons/hour","CE-002"
"EU-008","paint_booth","Bay 4 Overhead Paint Booth with Dry Filters","","","5.625","gallons/hour","CE-008"
"EU-009","paint_booth","Bay 5 Overhead Paint Booth with Dry Filters","","","5.625","gallons/hour","CE-009"
"EU-010","generator","Kohler Model 80ROZJ Diesel Fired Emergency Generator, 40 kW","40","kW","","","CE-010"
"EU-014","welding","Production Welding","3412","lbs/hr","","","N/A"
"EU-015","paint_booth","Down Draft Paint Booth, Bay 11","","","15","gallons/hour","CE-015"
"EU-020","generator","Caterpillar Model C9 Emergency Diesel Generator, 250 kW","250","kW","","","CE-020"
"EU-021","laser_cutting","Alltra Plasma Table (EE #4528) with Donaldson DFE 32 Dust Collector, HG16-12LHTR","","","","","CE-021"
"EU-022","laser_cutting","Bystronic Fiber Laser (EE #4526) with Donaldson TG-6 Dust Collector, Bystar 4020 10 kW","","","","","CE-022"
"EU-023","laser_cutting","Bystronic CO2 Laser (EE #4524) with Donaldson TG-6 Dust Collector, Bystar 4020 6 kW","","","","","CE-023"
"EU-024","laser_cutting","Alltra Plasma Table (EE #4522) with Donaldson DFE 32 Dust Collector, PG-14-12","","","","","CE-024"
"EU-025","laser_cutting","Bystronic Fiber Laser (EE #4529) with Donaldson DFE 3-12 Dust Collector, Bystar 10 kW","","","","","CE-025"
"EU-026","laser_cutting","Bystronic Tube Laser (EE #4531) with Donaldson Torit Downflo Evolution DFLS4 Dust Collector","","","","","CE-026"
