"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"0070-0-F","storage","Raw Materials Loading in Quarry","","","365000","tons/month","0070-1-F"
"0081-0-F","storage","Quarry Drilling Limestone","","","2500","tons/hr","0081-1-F"
"0110-1-F","storage","Raw Materials Storage Pile","0.6","acres","","","0110-2-F"
"0120-1-F","storage","Raw Materials Storage Pile","0.41","acres","","","0120-2-F"
"0130-1-F","storage","Raw Materials Storage Pile","2.75","acres","","","0130-2-F"
"0200-1-F","storage","Clay Hopper Filling","210","tons/hr","","","0200-5-F"
"0200-2-F","storage","Limestone Hopper Filling","1400","tons/hr","","","0200-5-F"
"0200-3-F","transferring","Raw Materials Transfer to Apron Feeder","210","tons/hr","","","0200-5-F"
"0200-4-F","transferring","Dump Hopper to Apron Feeder Transfer","1400","tons/hr","","","0200-5-F"
"0203-0-F","transferring","Raw Material Transfer in Transfer House-Conveyor to Conveyor","1400","tons/hr","","","0203-1-F"
"0218-0-F","processing","Crushing and Conveying of Raw Materials","1300","tons/hr","","","0218-1-F"
"0327-0-F","transferring","Raw Material Transfer Vibrating Feeder to Conveyor","250","tons/hr","","","0327-1-F"
"0466-0","kiln","Rotary Cement Kiln with Absorbent Addition and Baghouse","300","tons/hr","","","0466-1, 0466a-C"
"0466-0-F","processing","Rotary Cement Kiln and Raw Mill","300","tons/hr","","","0466-1, 0466a-C"
"0667-0","mill","Coal Mill and Bins with Baghouse","20","tons/hr","","","0667-1, 0667-2"
"0667-0-F","storage","Coal Mill and Bins","20","tons/hr","","","0667-1-C"
"0690-0-F","storage","Hopper/Weigh Feeder for Coal","200","tons/hr","","","0690-3-F"
