"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"17","boiler","Ready Set Cure Oven","","","","","C9-01-1"
"C12-03-1","boiler","Line 2 Washer Burner #1","3.6","MMBtu/hr","","","C12-03-1"
"C12-03-2","boiler","Line 2 Washer Burner #2","2.5","MMBtu/hr","","","C12-03-2"
"C12-03-3","boiler","Frame Dry Off Oven","2.0","MMBtu/hr","","","C12-03-3"
"C12-93-10","boiler","Frame Paint Bake Oven (#3 - West Exhaust)","3.6","MMBtu/hr","","","C12-93-10"
"C12-93-14","boiler","Frame Paint Bake Oven (#1 - East Air Seal)","3.6","MMBtu/hr","","","C12-93-14"
"C12-93-15","boiler","Frame Paint Bake Oven (#4 - East Air Seal)","3.6","MMBtu/hr","","","C12-93-15"
"C12-93-6","boiler","Adhesive Booth (D2 Cell)","3.6","MMBtu/hr","","","C12-93-6"
"C12-93-7","boiler","Frame Paint Reciprocator #1 (Line 1)","","","","","C12-93-7"
"C12-93-9","boiler","Frame Paint Bake Oven (#2 - East Exhaust)","3.6","MMBtu/hr","","","C12-93-9"
"C12-99-1","baghouse","Fabrication Shop Dust Collector and Paint Room","2.2","lb/hr","","","C12-99-1"
"C9-01-1","baghouse","Dry Filter","10.34","gal/hr","","","C9-01-1"
"C9-07-1","baghouse","Dry Filter","8.46","gal/hr","","","C9-07-1"
"C9-07-2","baghouse","Filter","0.34","gal/hr","","","C9-07-2"
"C9-12-1","boiler","Door Skin Adhesive Cure Oven (D1 Cell)","4.82","gal/hr","","","C9-12-1"
"C9-12-2","spray booth","Door Hand Paint Booth","0.21","gal/hr","","","C9-12-2"
"C9-13-2","other","Application of Body Putty","65.7","pieces/hr","","",""
"C9-94-12","boiler","Core Adhesive Booth #1","3.42","gal/hr","","","C9-94-12"
"C9-94-13","boiler","Core Adhesive Booth #2","3.42","gal/hr","","","C9-94-13"
"C9-94-2","boiler","Door Washer Process Burner #1 (Stage 1)","2","MMBtu/hr","","","C9-94-2"
"C9-96-6","boiler","Adhesive Booth (D1 Cell)","6.32","gal/hr","","","C9-96-6"
"C9-98-2","boiler","Adhesive Rollcoater","7.95","gal/hr","","","C9-98-2"
