"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"01","other","Caterpillar Model C4.4 DIT Emergency Generator (Natural Gas)","60","kW","","",""
"02-MAU-01","other","Make-up Air Unit","","","","",""
"02-MAU-02","other","Make-up Air Unit","1.4","MMBtu/hr","","",""
"02-MAU-03","other","Make-up Air Unit","0.2","MMBtu/hr","","",""
"71-GEN-06, 71-GEN-07","other","GE Jenbacher Model J420 GS-B85 Emergency Generator (Natural Gas)","1966","hp","","",""
"71-UH-01, 71-UH-02, 71-UH-03, 71-UH-04, 02-UH-01, and 02-UH-02","other","Space Heater (Natural Gas)","","","","",""
"72-GEN-04, 72-GEN-05","other","GE Jenbacher Model J420 GS-B85 Emergency Generator (Natural Gas)","1966","hp","","",""
"73-GEN-01, 73-GEN-02","other","Caterpillar Model G2520 Emergency Generator (Natural Gas)","2098","kW","","",""
"75-BLRS-1-NG, 75-BLRS-1-B, 75-BLRS-2-NG, 75-BLRS-2-B, 75-BLRS-3-NG, 75-BLRS-3-B","other","Weil-McClain Building 75 Boilers (Natural Gas or Biogas)","7","MMBtu/hr","","",""
"90-RNG-TOX-700, 244W and 249W","other","Digesters (Biogas and Natural Gas) with Waste Gas Burner CE 244W and CE 249W","","","","",""
"GTank","other","Gasoline Tank (12,000 gallons)","12000","gallons","","",""
