"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"19","steaming","Media Steamer (Filter Media)","","","288","lb/hr","CE-196-S4, CE-936-S2"
"24","boiler","Natural Gas Boiler (South)","14.5","MMBtu/hr","","","CE-N/A"
"25","boiler","Natural Gas Boiler (North)","14.5","MMBtu/hr","","","CE-N/A"
"33A","welding","Resistance Welding","","","14.44","lb/hr","CE-490-S3"
"43","welding","Hot Plate Welding (Plastic Parts)","60","pieces/hr","","","CE-748-S4"
"46A","mixing","Mix Room 1 (Polymer)","","","52.5","lb/hr","CE-364-S4"
"47","corrigating","Corrugator (Filter Media)","","","300","lb/hr","CE-360-S4"
"48A","coating","Ultra Web Line 1 (Filter Media)","","","600","lb/hr","CE-366-S4"
"57A","mixing","Mix Room 2 (Polymer)","","","131.5","lb/hr","CE-357"
"60","curing","Curing Oven 5 (Filter Media)","","","2.0","MMBtu/hr","CE-359"
"61","curing","Curing Oven 6 (Filter Media)","","","2.0","MMBtu/hr","CE-360"
"62","cutting","Filter Media Cutting (Laser)","111","lb/hr","","","CE-361"
"F1","adhesive application","Seam Seal Adhesives","","","12.2","lb/hr","CE-N/A"
"F11","release","Mold Release (Fugitive)","","","3500","lb/yr","CE-445-S1"
"F20","adhesive application","General Adhesive Application","18.5","lb/hr","","","CE-935"
"F26","coating","Pleat Spacing Media and Urethane Components","","","","","CE-061-S2"
"F4","curing","Plastisol Curing Oven","","","83333","lb/month","CE-933-S3"
"F41","adhesive application","Power Core (Adhesive Application)","500","lb","","","CE-655-S3, CE-720-S2, CE-037-S1"
"F5","printing","End Cap Printing Ink and Solvents","","","0.103","gal/hr","CE-934-S1"
