"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-116","exhaust","Wood Dip Room Exhaust (2045 Kerper)","8.0","gal/hr","","","CE-116"
"EU-117","exhaust","WPL Dip Drying Room Exhaust (2045 Kerper)","8.0","gal/hr","","","CE-117"
"EU-118","paint_booth","WPL Rhodes Booth (2045 Kerper)","10.8","gal/hr","","","CE-118"
"EU-143","oven","Mini Paint Line Cure Oven (APL) - (2045 Kerper)","","","1.5","MBBtu/hr",""
"EU-144","paint_booth","Mini Paint Line Booth #1 (APL) - (2045 Kerper)","","","5.63","gal/hr","CE-144"
"EU-145","paint_booth","Mini Paint Line Booth #2 (APL) - (2045 Kerper)","","","5.63","gal/hr","CE-145"
"EU-146","tank","Wood Treating Tank (2045 Kerper)","8.69","gal/hr","","",""
"EU-147","oven","Wood Treating Oven (2045 Kerper)","0.5","MBBtu/hr","","",""
"EU-148","paint_booth","WPL Rhodes Paint Booth #2 (2045 Kerper)","13.8","gal/hr","","","CE-148"
"EU-152","paint_booth","Deimco Spray Paint Booth (2045 Kerper)","13.8","gal/hr","","","CE-152"
"EU-153","generator","Emergency Generator (55HP)","55","hp","","",""
"EU-163","paint_booth","Automated Line 1 – Booth 1 (1115 Purina)","","","9.38","gal/hr","CE-163"
"EU-164","paint_booth","Automated Line 2 – Booth 1 (1115 Purina)","","","9.38","gal/hr","CE-164"
"EU-165","paint_booth","Automated Line 2 – Booth 2 (1115 Purina)","","","9.38","gal/hr","CE-165"
"EU-166","paint_booth","Manual Booth (1115 Purina)","","","14.06","gal/hr","CE-166"
"EU-25","paint_booth","APL Primer Booth #1 (1111 Purina)","","","4.69","gal/hr","CE-25"
"EU-26","paint_booth","APL Electrostatic Booth 1 (1111 Purina)","","","7.92","gal/hr","CE-26"
"EU-27","paint_booth","APL Electrostatic Booth 2 (1111 Purina)","","","7.92","gal/hr","CE-27"
"EU-28","paint_booth","APL Manual Touch-up Booth 1 (1111 Purina)","","","4.69","gal/hr","CE-28"
"EU-29","oven","APL Cure Oven (1111 Purina)","4.5","MBBtu/hr","","",""
"EU-30","exhaust","APL Washer Entrance Exhaust (1111 Purina)","468","gal/min","","","CE-30"
"EU-31","exhaust","APL Washer Exit Exhaust (1111 Purina)","468","gal/min","","","CE-31"
"EU-34","oven","APL Washer Dry-off Oven (1111 Purina)","2.5","MBBtu/hr","","","CE-34"
"EU-36","paint_booth","APL Manual Touch-up Booth 2 (1111 Purina)","","","4.69","gal/hr","CE-36"
"EU-37","paint_booth","APL Primer Booth #2 (1111 Purina)","","","4.69","gal/hr","CE-37"
