"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"E100","venting","Distillation Process Vents (C70)","18000","gallons per hour","","","C70"
"E103","storage","Centrate Tank (C70)","3000","gallons per hour","","","C70"
"E105","venting","Thin Stillage Tank Vents","3000","gallons/hour","","",""
"E105-E112","venting","Insignificant Process Vents, Tank Vent (C70)","","","","","C70"
"E106","venting","Syrup Tank Vents","3000","gallons/hour","","",""
"E108","venting","Cook Water Tank Vents","3000","gallons/hour","","",""
"E109","venting","Whole Stillage Tank Vents","3000","gallons/hour","","",""
"E110","loadout","Corn Oil Loadout","60000","bushels/hour","","",""
"E111","venting","Sulfuric Acid Tank Vents","3000","gallons/hour","","",""
"E112","venting","Wet Cake Pad Vents","3000","gallons/hour","","",""
"E26","mixing","Mixer","","","","","C10"
"E27","storage","Slurry Tank #1","25000","gallons","","",""
"E28","storage","Slurry Tank #2","25000","gallons","","",""
"E29","liquefaction","Liquefaction Tank #1","128400","gallons","","",""
"E30","liquefaction","Liquefaction Tank #2","128400","gallons","","",""
"E41","distillation","Beer Column","2000","gallons per minute","","","C10"
"E42","distillation","Rectifier Column","2000","gallons per minute","","","C10"
"E43","distillation","Side Stripper","2000","gallons per minute","","","C10"
"E44","thermal_oxidation","Thermal Oxidizer, 190 Proof Condenser (C10)","12","MMBtu per hour","","","C10"
"E46-E54","drying","Molecular Sieves (9 units)","2000","gallons/minute","","","C10"
"E55","condensation","200 Proof Condenser (C10)","2000","gallons per minute","","","C10"
"E62-E67","centrifugation","Centrifuge #1-6","44.4","tons per hour","","","C70"
"E69-E76","evaporation","Evaporator #1-8","44.4","tons per hour","","","C70"
"E83-E86","drying","DDGS Dryer A-D","15","tons per hour","","","C70"
"E87","cooling","DDGS Cooling Drum (C70)","55.65","tons per hour","","","C70"
"E88","conveying","DDGS Conveyor","500","tons per hour","","",""
"E88-E94","conveying","DDGS Conveyor, Elevator, Loadout #1-2 (C90)","500","tons per hour","","","C70"
"E89","elevating","DDGS Elevator","15000","bushels per hour","","",""
"E92","conveying","DDGS Loadout Conveyor (C70)","37500","bushels/hour","","","C70"
"E93","loadout","DDGS Loadout #1 (C70)","37500","bushels/hour","","","C70"
"E93-E94","loading","DDGS Loadout #1-2 (C90)","37500","bushels per hour","","","C70"
"E94","loadout","DDGS Loadout #2 (C70)","37500","bushels/hour","","","C70"
"FUG3","leak_detection","Fugitive Emissions from Equipment Leaks (C105)","","","","","C105"
"FUG4","dust_control","Fugitive Dust Plant Haul Roads (C106)","","","","","C106"
"S10","fermentation","Fermentation, Distillation and DDGS Dryers (C70)","258600","gallons per hour","","","C70"
"S100","cooling","DDGS Cooling Drum (C70)","55.65","tons per hour","","","C70"
"S110","pumping","Fire Pump Engine (C70)","365.9","bhp; 6.44 liters/cylinder diesel","","",""
"S20","unloading","Grain Unloading Conveyors #1-2 (C20)","60000","bushels per hour","","","C20"
"S25","storage","Grain Storage Bin #1 (C70)","224","tons per hour","","","C70"
"S27","receiving","Grain Day Bin #1 and Scalper #1 (C27)","224","tons/hour","","","C27"
"S30","hammer milling","Hammer Mill #1-4 (C30)","24000","bushels per hour","","","C30"
"S40","scrubbing","Fermentation Scrubber (C40)","807000","gallons per hour","","","C40"
"S50","loading","Ethanol Fuel Product Load Out (C50)","2160","gallons per minute","","","C50A, C50B, C50D"
"S71","boiler","Natural Gas Boiler #1 (C71)","180","MMBtu per hour","","","C71"
"S71-S72","boiling","Natural Gas Boilers #1-2 (C70)","360","MMBtu per hour, heat input","","","C71, C72"
"S72","boiler","Natural Gas Boiler #2 (C72)","180","MMBtu per hour","","","C72"
"S90","loading","DDGS Loading (C90)","500","tons per hour","","","C90"
