"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"(2) Mercaptan Tanks (1,000 gal and 500 gal)","storage","(2) Mercaptan Tanks (1,000 gal and 500 gal)","0.183","gal/hr","","","EU-15"
"(3) 63,000 gallon LPG tanks (EU-11), Propane Truck Loading Terminal (EU-14), (2) Mercaptan Tanks (1,000 gal and 500 gal) (EU-15), Underground Storage Tank and Associated Piping (EU-16)","storage","(3) 63,000 gallon LPG tanks, Propane Truck Loading Terminal, (2) Mercaptan Tanks, Underground Storage Tank and Associated Piping","","","","","EU-11, EU-14, EU-15, EU-16"
"(3) LPG Storage Tanks (63,000 gal. ea.)","storage","(3) 63,000 gallon LPG tanks","33750","gal/hr","","","EU-11"
"Emergency Flare System (Callidus Technologies)","flare","Emergency Flare System (Callidus Technologies)","8000","MMBtu/hr","","","EU-10"
"EU-01R","boilers","20-1602 Gas Turbine #1R","17.93","MMBtu/hr","","","EU-01R"
"Propane Truck Loading Terminal","loading terminal","Propane Truck Loading Terminal","33750","gal/hr","","","EU-14"
"Standby Generator","generators","Standby Generator","422","HP","","","EU-08"
"T1302 Gas Turbine #2","boilers","T1302 Gas Turbine #2","14.39","MMBtu/hr","","","EU-02"
"T1302 Gas Turbine #3","boilers","T1302 Gas Turbine #3","14.39","MMBtu/hr","","","EU-03"
"T1302 Gas Turbine #4R2","boilers","T1302 Gas Turbine #4R2","14.39","MMBtu/hr","","","EU-04"
"T1402 Gas Turbine #6","boilers","T1402 Gas Turbine #6","15.25","MMBtu/hr","","","EU-06"
"T1402 Gas Turbine #7","boilers","T1402 Gas Turbine #7","15.25","MMBtu/hr","","","EU-07"
"Underground Storage Tank and Associated Piping","storage","Underground Storage Tank and Associated Piping","78750","gal/hr","","","EU-16"
"Utility Flare (Flare Industries)","flare","Utility Flare (Flare Industries)","652.0","MMBtu/hr","","","EU-09"
