"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP001-P","furnace","A-Furnace 11-A-723","","","","","EP001-U"
"EP002-P","furnace","B-Furnace 11-A-042","","","","","EP002-U"
"EP003-P","furnace","C-Furnace 11-A-043","","","","","EP003-U"
"EP004-P","furnace","D-Furnace 08-A-245-S1","","","","","EP004-U"
"EP005-P","furnace","E-Furnace 08-A-246-S1","","","","","EP005-U"
"EP006-P","furnace","F-Furnace 11-A-044","","","","","EP006-U"
"EP007-P","furnace","G-Furnace 11-A-045","","","","","EP007-U"
"EP008-P","furnace","H-Furnace 11-A-046","","","","","EP008-U"
"EP009-P","furnace","I-Furnace 11-A-047","","","","","EP009-U"
"EP010-P","furnace","J-Furnace 11-A-048","","","","","EP010-U"
"EP011-P","furnace","K-Furnace None","160","MMBtu/hr","","","EP011-U"
"EP012-P","furnace","L-Furnace None","160","MMBtu/hr","","","EP012-U"
"EP013-P","furnace","M-Furnace 89-A-030-S1","190","MMBtu/hr","","","EP013-U"
"EP014-P","drying","Gas Drier None","","","","","EP014-U"
"EP015E-P","boiler","A-Boiler 17-A-542-S1","","","","","EP015E-U"
"EP015W-P","boiler","A-Boiler 89-A-028-S2","","","","","EP015W-U"
"EP016E-P","boiler","B-Boiler 17-A-543-S1","","","","","EP016E-U"
"EP016W-P","boiler","B-Boiler 89-A-029-S2","","","","","EP016W-U"
"EP020H-P","cooling","Cooling Tower None","","","","","EP020H-U"
"EP020I-P","cooling","Cooling Tower None","","","","","EP020I-U"
"EP020J-P","cooling","Cooling Tower None","","","","","EP020J-U"
"EP020K-P","cooling","Cooling Tower None","","","","","EP020K-U"
"EP020L-P","cooling","Cooling Tower None","","","","","EP020L-U"
"EP020M-P","cooling","Cooling Tower None","","","","","EP020M-U"
"EP020N-P","cooling","Cooling Tower None","","","","","EP020N-U"
"EP020O-P","cooling","Cooling Tower None","","","","","EP020O-U"
"EP020P-P","cooling","Cooling Tower None","","","","","EP020P-U"
"EP020Q-P","cooling","Cooling Tower None","","","","","EP020Q-U"
"EP020R-P","cooling","Cooling Tower None","","","","","EP020R-U"
"EP020S-P","cooling","Cooling Tower None","","","","","EP020S-U"
"EP020T-P","cooling","Cooling Tower None","","","","","EP020T-U"
"EP020U-P","cooling","Cooling Tower None","","","","","EP020U-U"
"EP020V-P","cooling","Cooling Tower None","","","","","EP020V-U"
"EP020W-P","cooling","Cooling Tower None","","","","","EP020W-U"
"EP020X-P","cooling","Cooling Tower None","","","","","EP020X-U"
"EP020Y-P","cooling","Cooling Tower None","","","","","EP020Y-U"
"EP020Z-P","cooling","Cooling Tower None","","","","","EP020Z-U"
"HD010-P","stack","Horizontal 18-A-054","","","","","HD010-U"
"HD011-P","stack","Horizontal 18-A-056","","","","","HD011-U"
"HD012-P","stack","Horizontal 18-A-058","","","","","HD012-U"
"HD013-P","stack","Horizontal 18-A-060","","","","","HD013-U"
"HD014-P","stack","Horizontal 18-A-062","","","","","HD014-U"
"HD015-P","stack","Horizontal 18-A-064","","","","","HD015-U"
"HD018-P","stack","Ambient Downward 89-A-065-S2","35000","lb/hr","","","HD018-U"
"HD019-P","stack","Ambient Downward 07-A-1190-S1","35000","lb/hr","","","HD019-U"
"HD200-P","stack","Ambient Horizontal 17-A-602","","","","","HD200-U"
"HD201-P","stack","Ambient Horizontal 17-A-603","","","","","HD201-U"
"HD202-P","stack","Ambient Horizontal 17-A-604","","","","","HD202-U"
"HD205-P","storage bin","Catalyst Tote 24-A-023-S1","100","gallons","","","HD205-U"
"LD060-P","storage bin","LD060-U 40% 0.1 ton/yr 0.1 ton/yr 97-A-818","","","","","LD060-U"
"LD061-P","storage bin","LD061-U 40% 0.1 ton/yr 0.1 ton/yr 97-A-819","","","","","LD061-U"
