"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EU-101","receiving","Scrap Handling; Iron","","","","",""
"EU-102","boilers","Cupola","20","tons/hour","","","CE-301A, CE-312"
"EU-103, EU-106-Baghouse, EU-110","induction furnaces","Two (2) Induction Furnaces; Disa C Mold, Pour & Cool; Disa C Shakeout","13.5","tons metal melt/hour","","","CE-313, CE-317"
"EU-104","cooling","Manual Pour & Cool","10.92","tons/hr","","",""
"EU-105-Baghouse, EU-108, EU-109, EU-121","baghouses","Disa A & B Mold, Pour & Cool; 20 x 26 Shakeout; Disa A (RS-60) & Disa B (MD-50) Shakeouts; 20 x 26 Automold","14","tons metal melt/hr (total for 2 lines)","","","CE-302"
"EU-107, EU-118, EU-129, EU-154","shakeouts and sand handling","Manual Shakeout; Manual Muller; Manual Sand Return; Manual Muller Bin","10.92","tons/hr","","",""
"EU-117C, EU-130, EU-155 & EU-156","mullers and bins","Disa C Muller; Disa Sand Return; Disa A & B Muller Bin; Disa C Muller Bin","","","","",""
"EU-119","sand handling","Prepared Sand Transfer","100.0","tons/hr","","",""
"EU-124","core making","Shell Core Making","0.738","tons/hr","","",""
"EU-124, EU-126","core making","Shell Core Making; Isocure Core Making","0.738","tons/hr","","",""
"EU-126","core making","Isocure Core Making","1.5","tons core sand per hour (Maximum Capacity)","","",""
"EU-152","generators","Emergency Generator (400 kW)","28.6","gallons/hr","","",""
