"unit_id","category","description","rated_capacity","rated_capacity_unit","throughput_limit","throughput_limit_unit","control_devices"
"EP F120","other","Truck Traffic on Plant Roads","","","","","Sweeping/Flushing"
"EP FP","other","Fire Water Pump","300","bhp","","","None"
"EP S20","receiving","Grain Receiving and Storage (EU P20)","40000","bu/hr","","","Baghouse (CE C20)"
"EP S33","receiving","Grain Receiving and Storage","30000","bu/hr","","","Baghouse (CE C33)"
"EU 62","drying","DDGS Dryer A","54.4","MMBtu/hr","","","Thermal Oxidizer 1 (CE C10a)"
"EU B10a","cooling","Heat Recovery Boiler A","147.4","MMBtu/hr","","","Thermal Oxidizer 1 (CE C10a)"
"EU FP","other","Fire Water Pump","300","bhp","","","None"
"EU P20","receiving","Grain Receiving/Handling System","","","40000","bu/hr","CE C20"
"EU P30","conditioning","Hammermills","1500","bu/hr","","","CE C30"
"EU P70","cooling","DDGS Cooler","1675","gal/min","","","CE C70"
"EU P80","cooling","Cooling Tower (4 cells)","3480000","gal/hr","","","Drift Eliminators (0.005% drift loss)"
